link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
1665,CSCI 523,CSCI 523L Networked Games,,,,"CSCI 580, CSCI 420",,
1666,CSCI 524,CSCI 524 Networked Artificial Intelligence,,,,"CSCI 580, CSCI 420",,"udc00102, udc00116, udc00012, udc00138"
1667,CSCI 526,CSCI 526 Advanced Mobile Devices and Game Consoles,,,,"CSCI 580, CSCI 420",,
1668,CSCI 596,Scientific Computing and Visualization,,,,"CSCI 455, MATH 458",,
1669,EE 553,EE 553 Computational Solution of Optimization Problems,,,,,EE 441,
1670,CSCI 402,CSCI 402 Operating Systems,,,,"CSCI 356, CSCI 455, CSCI 201, EE 352",,"udc00123, csr02338, csr01455"
1671,CSCI 510,CSCI 510 Software Management and Economics,ISE 512,,,,,"udc00137, udc00136, udc00099"
1672,CSCI 512,Testing and Analysis of Software Systems,,,,CSCI 571,,"udc00099, udc00153, udc00081, udc00105, udc00137"
1673,CSCI 568,CSCI 568 Requirements Engineering,,,,,CSCI 577,csr01682
1674,MUCD 550,MUCD 550 Orchestral Conducting Seminar,,,,,"MUCD 443, MUCD 441",
1675,MUHL 575,Music of the Baroque Era,,,,,MUHL 570,
1676,MUHL 591,Seminar in Baroque Repertories and Performance Practice,,,MUHL 570,,,
1677,MUHL 573,Music of the Middle Ages,,,,,MUHL 570,
1678,MUHL 574,Music of the Renaissance,,,,,MUHL 570,
1679,MUHL 576,Music of the Classical Period,,,,,MUHL 570,
1680,MUHL 577,Music of the 19th Century,,,,,MUHL 570,
1681,MUHL 578,Music since 1900,,,,,MUHL 570,
1682,ACCT 509,ACCT 509 Concepts of Financial and Management Accounting,,"GSBA 518, GSBA 510",,,,"csr00919, csr01036, csr01893, csr00310, csr00881, csr01870"
1683,CE 566,Project Controls â€” Planning and Scheduling,,,,CE 556,,
1684,FBE 570,Advanced Topics in Real Estate Finance,,,,,"GSBA 548, GSBA 521, FBE 591",
1685,FBE 589,Mortgages and Mortgage-Backed Securities and Markets,,,,,"GSBA 548, GSBA 521",
1686,FBE 591,Real Estate Finance and Investment,,,,,"GSBA 548, GSBA 521",
1687,CE 570,Building Information Modeling for Collaborative Construction,,,,,"CE 556, CE 470, CE 566",
1688,ART 515,ART 515 Visiting Artist and Scholar Seminar,CRIT 515,FA 515,,,,
1689,CRIT 555,CRIT 555 Methods of Curating : Introduction to Curatorial Practicum,,PAS 555,,,,
1690,CRIT 556,CRIT 556 Curatorial Practicum : Individual/Group Projects,,PAS 555,,,CRIT 555,
1691,CRIT 557,CRIT 557 Curatorial Practicum : Group Project Summation,,PAS 555,,,CRIT 556,
1692,CRIT 591,CRIT 591 Field Internship Experience,,PAS 591,,,,
1693,CRIT 594,CRIT 594a Master's Thesis,,PAS 594,,,,
1694,INF 523,INF 523 Computer Systems Assurance,,,,,INF 519,
1695,INF 525,"INF 525 Trusted System Design , Analysis and Development",,,,,INF 519,
1696,INF 526,INF 526 Secure Systems Administration,,,,,CSCI 530,"csr01001, csr01940, csr02029"
1697,CSCI 550,CSCI 550 Advanced Data Stores,,,,,"CSCI 585, CSCI 485",
1698,DHYG 614,DHYG 614 Dental Hygiene Student Teaching Practicum,,,,,"DHYG 613, DHYG 612",
1699,DSM 510,DSM 510 Introduction to Digital Social Media,,CMGT 534,,,,"csr02097, csr02311, csr01076, udc00200, csr00103, csr02031, csr00963, csr02532, csr01806, csr01132"
1700,DSM 520,DSM 520 Managing Technologies for Digital Media,,CMGT 538,,,,
1701,DSM 596,DSM 596 Final Project Capstone,,,,,"DSM 520, DSM 550, DSM 510","csr01880, csr02345, csr01842, csr01494, csr00266, csr01437, csr02145, csr01752, csr02350, csr00688"
1702,DSM 550,DSM 550 Analytics and Research Methodology,,,,,"DSM 520, DSM 510",
1703,DSM 560,"DSM 560 Digital Media Policy , Law , Practices , and Regulation",,,,,DSM 550,
1704,LAW 573,LAW 573 ADR Specialized Study,,,,,"LAW 829, LAW 819, LAW 715",
1705,LAW 712,LAW 712 Negotiation Theory and Application,,LAW 638,,,,csr01391
1706,PPD 509,PPD 509 Problems and Issues in the Health Field,,PUAD 530,,,,
1707,RED 542,Finance of Real Estate Development,,,,,RED 541,csr02075
1708,RED 544,Real Estate Capital Markets,,,,,RED 542,
1709,RED 546,Applications of Real Estate Finance to Problems of Development,,,,,RED 542,
1710,RED 562,RED 562 Legal Issues in Real Estate Development,,RED 662,,,,
1711,RED 573,RED 573 Design History and Criticism,,RED 673,,,,
1712,RED 574,RED 574 Building Typologies,,RED 674,,,,
1713,RED 575,RED 575L Community Design and Site Planning,,RED 675,,,,
1714,MUEN 550,MUEN 550 Early Music Ensemble,,MUEN 450,,,,
1715,MUHL 572,Seminar in Historical Musical Notation,,,,,MUHL 570,
1716,MUHL 589,Seminar in Renaissance Repertories and Performance Practice,,,MUHL 570,,,
1717,ECON 401,Mathematical Methods in Economics,,,,,ECON 303,
1718,ECON 500,Microeconomic Analysis and Policy,,,ECON 401,,"ECON 305, ECON 303",
1719,ECON 601,ECON 601 Microeconomic Theory I,,ECON 503,,,"ECON 401, ECON 500",
1720,ECON 501,Macroeconomic Analysis and Policy,,,,,"ECON 305, ECON 401, ECON 303",
1721,ECON 602,ECON 602 Macroeconomic Theory I,,ECON 505,,,ECON 401,
1722,ECON 502,Mathematical Methods in Dynamic Economics,,,,,ECON 401,
1723,ECON 607,Topics in Dynamic Optimization,,,,,ECON 502,
1724,ECON 615,Applied Econometrics,,,,,ECON 609,
1725,ECON 609,ECON 609 Econometric Methods,,ECON 511,,,ECON 611,
1726,ECON 513,Practice of Econometrics,,,,,ECON 318,
1727,ECON 523,Economic History and Development,,,,,ECON 303,
1728,ECON 537,"Contracts , Organizations , and Institutions",,,,,ECON 303,
1729,ECON 541,Economic Development,,,,,"ECON 305, ECON 303",
1730,ECON 634,ECON 634 Political Economy of Institutions,,ECON 534,,,"ECON 601, ECON 500",
1731,ECON 644,Economic Development Programming and Policy Planning,,,,,"ECON 601, ECON 602, ECON 500, ECON 501",
1732,ECON 650,International Trade Theory,,,,,"ECON 601, ECON 500",
1733,ECON 651,International Monetary Theory,,,,,"ECON 601, ECON 500, ECON 501",
1734,EDCO 503,Ethical and Legal Issues in Counseling,,,,,EDUC 500,
1735,EDCO 541,Theories in Counseling,,,EDUC 500,,,
1736,EDHP 587,"EDHP 587 Fieldwork in Higher , Adult , and Professional Education",,,,"EDHP 565, EDHP 563",,
1737,EDUC 500,EDUC 500 The Counseling Process,,EDCO 500,,,,
1738,EDUC 547,EDUC 547 Career Development : Theory and Process,,EDCO 548,,,,
1739,EDUC 637,EDUC 637 Group Counseling : Theory and Process,,EDCO 542,,,"EDCO 541, EDUC 500, EDUC 507",
1740,EE 503,EE 503 Probability for Electrical and Computer Engineers,,"EE 464, EE 465",,,,
1741,EE 512,Stochastic Processes,,,,,"EE 503, EE 441",
1742,EE 535,Mobile Communications,,,,,EE 503,"csr01462, csr00659, csr01600"
1743,EE 554,EE 554 Real Time Computer Systems,,,,,EE 457,"csr02075, csr00491"
1744,EE 649,Stochastic Network Optimization,,,,,EE 503,
1745,EE 444,Power Systems Technology,,,,,EE 202,
1746,EE 521,Power Systems Analysis and Design,,,,,EE 443,csr01140
1747,EE 516,High-Voltage DC Transmission Systems,,,,,EE 443,
1748,EE 524,Transients in Power Systems,,,,,EE 443,
1749,EE 525,Power System Protection,,,,,EE 443,
1750,EE 482,EE 482 Linear Control Systems,,AME 451,,,EE 301,
1751,EE 527,Net-Centric Power-System Control,,,,"EE 482, EE 521",,
1752,EE 543,EE 543aL Digital Control Systems,,EE 485,,,EE 482,
1753,EE 585,EE 585 Linear System Theory,,AME 541,,,EE 441,
1754,EE 593,EE 593 Robust Multivariable Control,,,,,"EE 482, EE 585",
1755,AME 532,Flight Vehicle Stability and Control,,,,AME 459,,
1756,EE 522,EE 522 Immersive Audio Signal Processing,,,,,EE 483,csr01145
1757,EE 586,EE 586L Advanced DSP Design Laboratory,,,,,EE 483,
1758,EE 596,Wavelets,,,,,"MATH 570, EE 483, EE 441, EE 569",
1759,EE 619,Advanced Topics in Automatic Speech Recognition,,,,"CSCI 544, EE 503, EE 519",,
1760,EE 669,Multimedia Data Compression,,,,EE 503,,
1761,EE 448,EE 448 L Communication Electronics,,,,,EE 348,"csr01143, csr01135, csr01151"
1762,EE 632,Integrated Communication Systems,,,,,EE 536,csr01654
1763,EE 479,Analog Integrated Circuit Design,,,,,EE 348,
1764,EE 506,EE 506 Semiconductor Physics,MASC 506,,,,,
1765,EE 540,Introduction to Quantum Electronics,,,,,EE 470,
1766,EE 601,EE 601 Advanced Semiconductor Device Physics,MASC 601,,,"EE 471, EE 539",,
1767,EE 519,Speech Recognition and Processing for Multimedia,,,,,EE 483,
1768,EE 564,EE 564 Digital Communication and Coding Systems,,,,,"EE 503, EE 441",
1769,EE 567,EE 567 Communication Systems,,,,"EE 503, EE 441",,
1770,EE 511,Simulation Methods for Stochastic Systems,,,,EE 503,,
1771,EE 483,Introduction to Digital Signal Processing,,,,,EE 301,csr01145
1772,EE 583,Statistical Signal Processing,,,,,EE 503,csr01145
1773,EE 541,Radio Frequency Filter Design,,,,,EE 348,
1774,EE 544,Radio Frequency Systems and Hardware,,,,,"EE 348, EE 364, EE 301",
1775,ISE 561,Economic Analysis of Engineering Projects,,,,,ISE 500,
1776,ISE 536,ISE 536 Linear Programming and Extensions,,,,,"MATH 225, EE 441",
1777,BAEP 552,BAEP 552 Cases in Feasibility Analysis,,BAEP 566,"BAEP 549, GSBA 550, BAEP 550, BAEP 551",,,
1778,BAEP 554,BAEP 554 Venture Initiation,,,,,"BAEP 556, BAEP 552, BAEP 566",
1779,MKT 525,MKT 525 Consumer Behavior,,,,,"GSBA 528, GSBA 509",csr01047
1780,MKT 528,MKT 528 Sales Management : The Art and Science of Sales,,,,,"GSBA 528, GSBA 509","csr00685, csr02575, csr01833, csr00687, csr02577, csr00688, csr02578, csr00705, csr00684, csr02574"
1781,MKT 530,MKT 530 New Product Development,,,,,"GSBA 528, GSBA 509",udc00045
1782,ENST 501,Environmental Science I,,,ENST 502,,,
1783,ENST 503,Environmental Science II,,,ENST 504,,ENST 501,
1784,ENST 540,California Coastal Zone Science and Policy,,,,ENST 500,,
1785,PPD 621,PPD 621 Environmental Impacts,,PLUS 561,,,,
1786,PPDE 632,PPDE 632 Sustainable Cities,,GEOG 601,,,,"csr00672, csr00770"
1787,FBE 524,Money and Capital Markets,,,,,"GSBA 548, GSBA 521","csr01826, csr01759, csr01863"
1788,FBE 529,Financial Analysis and Valuation,,,,,"GSBA 548, GSBA 521","csr00953, csr00919, csr00946, csr01036, csr01862"
1789,FBE 531,Corporate Financial Policy and Corporate Governance,,,,,"GSBA 548, GSBA 521","csr02208, csr01038"
1790,FBE 543,Forecasting and Risk Analysis,,,,,"FBE 506, GSBA 506, GSBA 545, GSBA 524, GSBA 516",
1791,FBE 555,Investment Analysis and Portfolio Management,,,,,"GSBA 548, GSBA 521",
1792,FBE 523,Venture Capital and Private Equity,,,,,"GSBA 548, GSBA 521",
1793,FBE 527,Entrepreneurial Finance : Financial Management for Developing Firms,,,,,"GSBA 548, GSBA 521",
1794,FBE 532,Corporate Financial Strategy,,,,,"GSBA 548, GSBA 521","csr02208, csr01864, csr01038"
1795,FBE 533,"CEO Pay , Corporate Governance , and the Politics of Finance",,,,,"GSBA 548, GSBA 521",
1796,FBE 535,FBE 535 Applied Finance in Fixed Income Securities,,,,,"GSBA 548, GSBA 521",
1797,FBE 540,Hedge Funds,,,,,"GSBA 548, GSBA 521",
1798,FBE 554,Trading and Exchanges,,,,,"GSBA 548, GSBA 521",
1799,FBE 559,Management of Financial Risk,,,,,"GSBA 548, GSBA 521",csr01079
1800,FBE 560,Mergers and Acquisitions,,,,,"GSBA 548, GSBA 521",
1801,FBE 562,FBE 562 Current Issues in International Finance,,,,,"GSBA 580, GSBA 549, GSBA 544, GSBA 581",
1802,FBE 571,FBE 571 Introduction to Financial Analysis : Practicum,,"FBE 572, FBE 573",,,"GSBA 548, GSBA 521","csr01036, csr00919"
1803,ISE 563,Financial Engineering,,,,ISE 220,,
1804,ECON 613,Economic and Financial Time Series I,,,,,ECON 609,udc00180
1805,EE 500,EE 500 Neural Learning and Computational Intelligence,,,,"EE 503, EE 483, EE 441",,"csr01020, csr01714, csr00202"
1806,EE 517,EE 517 Statistics and Data Analysis for Engineers,,,,,EE 503,"csr01601, csr00141, csr01637, csr00706"
1807,EE 556,EE 556 Stochastic Systems,,,,,"EE 512, EE 503, EE 562, ISE 538",
1808,ISE 539,Stochastic Elements of Simulation,,,ISE 538,,,
1809,ART 520,ART 520 Individual Studies,,FA 520,,,,
1810,ART 530,ART 530 Global Art Seminar : the Globalization of Art and Culture,CRIT 530,,,,,
1811,ART 594,ART 594a Master's Thesis,,FA 594,,,,
1812,SSCI 581,SSCI 581 Concepts for Spatial Thinking,,GEOG 581,,,,
1813,SSCI 582,SSCI 582 Spatial Databases,,GEOG 582,,SSCI 581,,udc00073
1814,SSCI 587,SSCI 587 Spatial Data Acquisition,,GEOG 587,,SSCI 581,,
1815,SSCI 583,SSCI 583 Spatial Analysis,,GEOG 583,,SSCI 581,,
1816,SSCI 584,SSCI 584 Spatial Modeling,,,,SSCI 583,,
1817,SSCI 585,SSCI 585 Geospatial Technology Project Management,,GEOG 585,,SSCI 581,,"csr00965, csr02534, csr00900, csr01322, csr01469, csr02355, csr00260, csr00967, csr02536, csr00915"
1818,SSCI 586,SSCI 586 GIS Programming and Customization,,GEOG 586,,SSCI 582,,"csr00896, csr01318, csr01465, csr02351"
1819,SSCI 588,SSCI 588 Remote Sensing for GIS,,GEOG 588,,SSCI 581,,
1820,SSCI 589,SSCI 589 Cartography and Visualization,,GEOG 589,,SSCI 581,,
1821,SSCI 591,SSCI 591 Web GIS,,GEOG 591,,SSCI 581,,"csr00896, csr01318, csr01465, csr02351, csr01337, csr00913"
1822,SSCI 592,Mobile GIS,,,,SSCI 591,,"csr00896, csr01318, csr01465, csr02351"
1823,SSCI 593,SSCI 593 Geospatial Data Integration,,,,SSCI 587,,"csr02051, csr00915"
1824,GDEN 710,GDEN 710 Knowledge Assessment for GDEN Students,,GDEN 716,,,"GDEN 711, GDEN 722, GDEN 725, GDEN 713, GDEN 715",
1825,GDEN 712,GDEN 712a Capstone Research Project for GDEN Students,,OFPM 729,,,ADNT 701,
1826,MEDS 504,MEDS 504 L Core Principles System II,,,,,MEDS 503,
1827,BAEP 550,BAEP 550 Entrepreneurship and Venture Management,,"BAEP 549, GSBA 586, GSBA 550, BAEP 551",,,,csr01399
1828,BAEP 551,BAEP 551 Introduction to New Ventures,,"BAEP 549, GSBA 586, GSBA 550, BAEP 550",,,,
1829,DSO 582,DSO 582 Service Management : Economics and Operations,,IOM 582,,"GSBA 504, GSBA 534",,"csr01888, csr01039"
1830,MEDS 527,MEDS 527 Zoonotic Infectious Diseases,,,,MEDS 500,,
1831,MEDS 554,MEDS 554 Clinical Medicine and Healthcare Delivery in Panama,,,,"MEDS 500, MEDS 501, MEDS 511, MEDS 510, MEDS 515, MEDS 514",,
1832,MEDS 555,MEDS 555 Clinical Medicine and Healthcare Access in Honduras,,,,"MEDS 500, MEDS 501, MEDS 513, MEDS 515, MEDS 514",,
1833,MEDS 559,MEDS 559 Clinical Medicine and Healthcare Determinants in China,,,,"MEDS 500, MEDS 501, MEDS 535, MEDS 515",,
1834,MEDS 561,MEDS 561 Global Healthcare Development and Practices in Nepal,,,,"MEDS 500, MEDS 501, MEDS 518, MEDS 513",,
1835,MEDS 562,Healthcare in Thailand,,,,"MEDS 500, MEDS 501, MEDS 535, MEDS 515",,
1836,MEDS 564,Health Behavior and Healthcare in Germany,,,,"MEDS 500, MEDS 501, MEDS 535, MEDS 515",,
1837,MEDS 566,MEDS 566 Healthcare in Fiji,,,,"MEDS 500, MEDS 501, MEDS 535, MEDS 515",,
1838,DSO 586,DSO 586 Global Healthcare Operations Management,,IOM 586,,,,"csr01888, csr01039"
1839,MKT 565,MKT 565 Global Marketing,,,,,"GSBA 529, GSBA 509",
1840,DSO 549,DSO 549 Application of Lean Six Sigma,,"ISE 507, IOM 549",,,,"csr00134, csr01508, csr02450, csr01482, csr01484, csr01509, csr02451, csr01485, csr01483, csr01511"
1841,DSO 557,DSO 557a Global Supply Chain Management in International Settings,,IOM 557,,,,"csr00320, csr00660, csr00316, csr00318, csr00319"
1842,DSO 581,DSO 581 Supply Chain Management,,IOM 581,,"GSBA 504, GSBA 534",,"csr00320, csr00660, csr00318, csr00319, csr00316, csr01892, csr00317, csr00458"
1843,DSO 505,DSO 505 Sustainable Supply Chains,,IOM 505,,,,"csr00672, csr00770"
1844,DSO 506,DSO 506 Sourcing and Supplier Management,,IOM 506,,,,csr00319
1845,DSO 520,DSO 520 Logistics Management,,IOM 520,,,,"csr00316, csr00457"
1846,DSO 534,DSO 534 Discrete-Event Simulation for Process Management,,DSO 532,DSO 516,,,
1847,DSO 580,DSO 580 Project Management,,IOM 580,,"GSBA 504, GSBA 534",,"csr00965, csr02534, csr00300, csr01498, csr01638, csr00312, csr02137, csr01620, csr00481, csr01386"
1848,CHE 510,CHE 510 Energy and Process Efficiency,,AME 577,,,,
1849,AME 577,AME 577 Survey of Energy and Power for a Sustainable Future,,CHE 510,,,,
1850,PPD 511,Health Information Systems,,,,"PPD 502, PPD 516",,"csr00910, csr01335, csr02369"
1851,PPD 510,Financial Management of Health Services,,,,,"PPD 502, PPD 516","csr01036, csr01129, csr01100, csr01646, csr02295"
1852,PPD 512,PPD 512 Health Administration Residency Seminar,,,,,PPD 509,
1853,PPD 513,PPD 513 Legal Issues in Health Care Delivery,,,,PPD 509,,
1854,PPD 514,PPD 514 Economic Concepts Applied to Health,,PUAD 537,,,PPD 501,
1855,PPD 515,Strategic Management of Health Organizations,,,,,"PPD 557, HMGT 520, PPD 545, PPD 511, PPD 513, PPD 514, PPD 509, HMGT 565, PPD 501",csr00705
1856,PPD 545,PPD 545 Human Behavior in Public Organizations,,PUAD 585,,,,
1857,PPD 558,Multivariate Statistical Analysis,,,,,"PPD 525, PPD 502",
1858,ARCH 550,Heritage Conservation Policy and Planning,,,,ARCH 549,,
1859,ARCH 551,Conservation Methods and Materials,,,,ARCH 549,,
1860,ARCH 556,Readings in Heritage Conservation Theory,,,,,ARCH 549,
1861,ARCH 691,ARCH 691a Heritage Conservation Thesis Preparation and Thesis,,,,,ARCH 549,
1862,HRM 550,HRM 550 Change Management and Organization Development,,,,,HRM 515,
1863,ISE 525,Design of Experiments,,,,ISE 225,,
1864,IDSN 515,IDSN 515 Professional Practices Residential,,,,"IDSN 520, IDSN 525, IDSN 510, IDSN 540",,
1865,IDSN 540,IDSN 540 Processes and Perspectives,,,,IDSN 510,,
1866,IDSN 545,IDSN 545 Integrative Project,,,,IDSN 510,,
1867,IDSN 550,IDSN 550 Opportunity and Uncertainty,,,,"IDSN 540, IDSN 510",,
1868,IDSN 560,IDSN 560 Narrative and Storytelling,,,,"IDSN 540, IDSN 510",,
1869,IDSN 570,IDSN 570 Decisions and Solutions,,,,"IDSN 540, IDSN 510",,
1870,IDSN 520,IDSN 520 Design Essentials,,,,IDSN 510,,udc00027
1871,IDSN 525,IDSN 525 Business Essentials,,,,IDSN 510,,"csr00765, csr00801, csr00067, csr01361"
1872,IDSN 530,IDSN 530 Technology Essentials,,,,IDSN 510,,"csr00399, csr02151"
1873,IDSN 505,IDSN 505 Intensive,,,,"IDSN 540, IDSN 510",,
1874,CTIN 542,Interactive Design and Production II,,,,,CTIN 532,
1875,CTIN 548,Preparing the Interactive Project,,,,,CTIN 532,
1876,CTIN 594,Master's Thesis,,,,,CTIN 548,
1877,CTWR 526,Advanced Storytelling for Interactive Media,,,,,CTWR 518,
1878,CTIN 583,CTIN 583 Game Development for Designers,,,,CTIN 506,,"csr00868, csr02233, csr01963, csr01963, csr00872, csr02237, csr01297, csr02036"
1879,MUEN 529,MUEN 529 Jazz Ensemble,,MUEN 429,,,,
1880,MUJZ 545,MUJZ 545 Jazz Ensemble Development,,MUED 547,,,,
1881,MUJZ 547,MUJZ 547 Jazz Composition,,MUCO 547,,,,
1882,JOUR 531,JOUR 531L Fall Digital Journalism Immersion,,,,,JOUR 528,
1883,JOUR 524,JOUR 524 Advanced Broadcast Reporting,,,,JOUR 552,,
1884,JOUR 555,JOUR 555 Advanced Coding for Creative Storytelling,,,,,"JOUR 553, JOUR 551",
1885,ARCH 414,ARCH 414 Perspectives in History and Theory in Architecture,,,,,"ARCH 214, ARCH 304",
1886,ARCH 542,ARCH 542a L Landscape Architecture Design,,,,,ARCH 541,"khn01113, khn01123, khn01133, khn01143, khn01153, khn01163, khn01173, khn01183"
1887,ARCH 538,ARCH 538 L Urban Plant Ecology : Cultural Perspectives,,,,,ARCH 537,
1888,ARCH 530,ARCH 530 Landscape Architecture Practice,,ARCH 630,,,,
1889,ARCH 642,ARCH 642 L Landscape Architecture Design,,,,,ARCH 542,"khn01113, khn01123, khn01133, khn01143, khn01153, khn01163, khn01173, khn01183"
1890,ARCH 407,ARCH 407 Advanced Computer Applications,,,,,ARCH 207,
1891,PPD 527,PPD 527 The Social Context of Planning,,PLUS 506,,,,
1892,PPD 530,PPD 530 Historical Analysis of Urban Form and Planning Practice,,PLUS 510,,,,
1893,PPD 641,"PPD 641 Leading Individuals , Groups and Teams",,,,,PPD 640,
1894,PPD 642,PPD 642 Strategic Leadership of Organizations,,,,,PPD 641,csr02209
1895,PPD 643,PPD 643 Leading Transformations Across Sectors : Integrative Seminar,,,,,PPD 642,
1896,EDUC 589,EDUC 589 Human Lifespan Development,,EDPT 520,,,,
1897,EDUC 595,EDUC 595 Instructional Design,,EDPT 520,,,,
1898,GSBA 502,GSBA 502 Management Communication for Leaders,,"GSBA 523, GSBA 542, GSBA 502",,,,"csr01623, csr02448, csr01622, csr02447"
1899,LIM 598,Capstone in Library and Information Management,,,,,"LIM 500, LIM 501, LIM 502, LIM 503, LIM 504, GSBA 502",
1900,FBE 587,FBE 587 Legal and Regulatory Environment of Long Term Care,,"FBE 558, FBE 557",,,,
1901,PPD 649,PPD 649 Concepts and Practices in Public Personnel Administration,,PUAD 516,,,,
1902,BISC 445,BISC 445 L Fundamentals of Vertebrate Biology,,,,,"BISC 313, BISC 325, BISC 320, BISC 330, BISC 221, BISC 220, BISC 120, BISC 121",
1903,BISC 455,BISC 455 L Molecular Approaches to Microbial Diversity â€” Catalina Semester,,,BISC 431,,BISC 320,
1904,BISC 511,BISC 511 Integrative Biology,,BISC 510,,,,
1905,BISC 512,BISC 512 Evolutionary Biology,,BISC 510,,,,
1906,GEOL 500,Marine Paleoecology,,,,GEOL 577,,
1907,GEOL 501,Paleobiology,,,,GEOL 433,,
1908,GEOL 555,Paleoceanography,,,,"GEOL 412, GEOL 460, GEOL 512",,
1909,GEOL 560,Marine Geochemistry,,,,,GEOL 460,
1910,GEOL 577,GEOL 577 L Micropaleontology,,,,GEOL 433,,
1911,OS 512,OS 512 Introduction to Chemical and Physical Oceanography,GEOL 512,,,,"CHEM 105, MATH 126",
1912,MKT 543,MKT 543 Market Demand and Sales Forecasting,,,,,"GSBA 528, GSBA 509","udc00180, csr01821"
1913,MKT 512,MKT 512 Customer Insights and Analysis,,,,,"GSBA 528, GSBA 509","csr00307, csr00878, csr01867"
1914,MKT 556,MKT 556 Internet Marketing,,,,,"GSBA 528, GSBA 509","csr01035, csr01825, csr01831, csr00999, csr00715, csr00970, csr01891, csr01050, csr01083"
1915,MKT 560,MKT 560 Marketing Strategy,,,,,"GSBA 528, GSBA 509","csr01085, csr01051, csr01850, csr00794, csr01825, csr01050, csr01035"
1916,EDUC 515,Theories of Marriage and Family Therapy,,,,,"EDCO 541, EDUC 500, EDUC 507",
1917,EDUC 544,EDUC 544 Measurement Procedures for Counselors,,EDCO 544,,,,
1918,EDUC 546,EDUC 546 Psychopathology for Marriage and Family Therapy,,EDCO 546,,,,
1919,EDUC 634,Couples Counseling,,,,,"EDCO 541, EDUC 500, EDUC 507",
1920,EDUC 635,EDUC 635 Psychotherapy with Children and Adolescents,,EDCO 554,,,"EDCO 541, EDUC 500, EDUC 507",
1921,EDUC 636,EDUC 636 Perspectives on Human Sexuality,,EDCO 516,,,EDUC 507,
1922,EDUC 638,EDUC 638 Cross-Cultural Counseling : Research and Practice,,EDCO 551,,,,
1923,EDUC 644,EDUC 644 Practicum in Counseling,,EDCO 560,,,"EDUC 546, EDCO 541, EDUC 500, EDUC 507",
1924,EDUC 645,EDUC 645a Fieldwork in Counseling,,EDCO 561,,,EDUC 644,
1925,LAW 869,LAW 869 Family Law Mediation Clinic,,,,,LAW 630,
1926,LAW 658,LAW 658 Mergers and Acquisitions,,,,,LAW 603,
1927,MATH 530,MATH 530a Stochastic Calculus and Mathematical Finance,,MATH 503,,"MATH 407, MATH 225",,
1928,ECON 659,Economics of Financial Markets I,,,,,ECON 601,"csr01078, csr00711, csr01092, csr01715"
1929,MATH 508,Filtering Theory,,,,,MATH 507,
1930,MATH 509,Stochastic Differential Equations,,,,,"MATH 507, MATH 505",udc00158
1931,MATH 585,Mathematical Theory of Optimal Control,,,,,"MATH 525, MATH 570",
1932,ECON 614,Economic and Financial Time Series II,,,,,ECON 604,
1933,ECON 652,Economics of Financial Markets II,,,,,ECON 601,"csr00711, csr01092, csr01715, csr01078, csr01838, csr00755, csr00936, csr02216"
1934,AME 514,Applications of Combustion and Reacting Flows,,,,AME 513,,
1935,AME 581,Introduction to Nuclear Engineering,,,,"AME 310, MATH 245, PHYS 153",,
1936,AME 582,Nuclear Reactor Physics,,,,,"PHYS 153, AME 581, AME 526",
1937,AME 541,AME 541 Linear Control Systems II,,EE 585,,,AME 451,
1938,AME 515,Advanced Problems in Heat Conduction,,,,"AME 331, AME 526",,
1939,AME 517,Radiation Heat Transfer,,,"AME 526, AME 525",,AME 331,
1940,AME 533,Multi-Phase Flows,,,,,AME 457,
1941,AME 537,Microfluidics,,,,"AME 309, MATH 445",,
1942,AME 455,AME 455 Introduction to MEMS,,,,"AME 310, AME 301, AME 309",,
1943,AME 534,Nuclear Thermal-Hydraulics,,,,,"AME 530, AME 581, AME 457, AME 526",
1944,AME 583,Effects of Radiation on Health,,,,,"PHYS 153, AME 581, AME 526",
1945,BME 650,Biomedical Measurement and Instrumentation,,,,BME 513,,
1946,BME 620,BME 620 L Applied Electrophysiology,,,,,BME 502,
1947,BIOC 575,Predictive and Prognostic Biomarkers in Cancer Treatment,,,,INTD 571,,
1948,INTD 551,INTD 551 Pathobiology of Disease,,,,,INTD 550,
1949,PM 532,Genetics in Public Health and Preventive Medicine,,,,PM 512,,
1950,PM 554,Biological Effects of Environmental Toxins,,,,PM 529,,
1951,PM 537,Chronic Disease Epidemiology,,,,,PM 512,
1952,PM 553,Human Exposure Assessment for Public Health,,,,PM 510,,
1953,PM 558,"Environmental Epidemiology : Concepts , Methods , and Practice",,,,"PM 510, PM 512",,
1954,PM 586,PM 586 Reproductive and Perinatal Epidemiology,,,,,"PM 510, PM 512",
1955,BISC 414,Biology of Cancer,,,,,BISC 325,csr01650
1956,BISC 425,Advanced Genetics through the Primary Scientific Literature,,,,,BISC 325,
1957,EDUC 569,EDUC 569a Capstone Portfolio in Learning and Instruction,,EDUC 569,,,,
1958,MUHL 579,MUHL 579 Studies in Music History,,,,,MUHL 570,
1959,MUIN 520,"MUIN 520 Artist Management : Campaign Planning , Pitching , Partnerships",,,,,MUIN 510,
1960,MUIN 523,MUIN 523 Survey/Analysis of Music Agreements,,,,,MUIN 510,csr00996
1961,MUIN 530,MUIN 530 Mentorship,,,,,MUIN 520,
1962,MUIN 540,MUIN 540 Artist Management : Campaign Execution and Hindsight Analysis,,,,,MUIN 520,
