link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
192,CE 235,CE 235 Dynamics,,CE 325,,,CE 205,
193,CE 309,CE 309 Fluid Mechanics,,,CE 235,,"MATH 226, MATH 229",
194,EE 326,EE 326 Lx Essentials of Electrical Engineering,,,,,"PHYS 152, MATH 126","khn01275, khn01285, khn01295, khn01305, khn01315, khn01325, khn01265"
195,HIST 101,HIST 101gp State and Society in the Ancient World,CLAS 101,,,,,
196,REL 304,REL 304 Ethics and Global Heritage,"ARCG 304, ANTH 318",,,"REL 301, ANTH 202",,"csr00676, csr00774"
197,AHIS 415,AHIS 415 Object-Worlds : Histories and Theories of Things,"ARCG 415, CLAS 415",,,,,
198,ANTH 307,ANTH 307 Trojan Archaeology : Excavating USC,ARCG 307,,,ANTH 202,,
199,ANTH 400,ANTH 400 Maya Resilience : Constructing Past and Present Identities,ARCG 400,,,"ANTH 202, ANTH 310, ANTH 314",,
200,ANTH 450,ANTH 450 Field Research in Maya Archaeology,ARCG 482,,ANTH 400,,"ANTH 202, ANTH 310, ANTH 314",
201,REL 494,REL 494 Lab Methods and Theories in Archaeology,ARCG 494,,,ANTH 202,,
202,AHIS 321,AHIS 321 Greek Art and Archaeology,"ARCG 321, CLAS 321",,,,,
203,AHIS 322,AHIS 322 Roman Art and Archaeology,"ARCG 322, CLAS 322",,,,,
204,AHIS 381,AHIS 381g Visual Cultures of Asia,EALC 381,,,,,
205,ANTH 304,Prehistoric Archaeology,,,,HBIO 200,,
206,ANTH 337,Anthropology of Warfare,,,,"ANTH 202, ANTH 304",,
207,ANTH 377,ANTH 377 Archaeological Interpretation of Complex Societies,ARCG 377,,,ANTH 202,,
208,CLAS 328,CLAS 328 Archaeology of Religion in the Greco- Roman World,,,,"AHIS 201, AHIS 120",,
209,CLAS 349,CLAS 349g Ancient Empires,,CLAS 149,,,,
210,CLAS 371,CLAS 371 From Alexander to Cleopatra : The Mediterranean in an Age of Expansion,HIST 387,,,,,
211,JS 370,JS 370 Digs and Dispute : Religion and Archaeology in Israel,ARCG 370,,,,,
212,JS 378,JS 378 Jewish Magic in the Ancient World,ARCG 378,,,,,
213,MDES 316,MDES 316p The Great Muslim Empires of the Near East and India,HIST 394,,,,,
214,ANTH 376,ANTH 376 Scientific Analysis in Archaeology,ARCG 376,,,ANTH 202,,
215,ARCG 305,"ARCG 305L Virtual and Digital Culture , Heritage and Archaeology","ANTH 309, REL 305",,,ANTH 202,,
216,ARCG 490,ARCG 490x Directed Research,,,,"ANTH 202, ANTH 307, REL 494",,
217,CHEM 300,CHEM 300 L Analytical Chemistry,,,,,"CHEM 105, CHEM 115",
218,ENST 320,ENST 320a Water and Soil Sustainability ; Energy and Air Sustainability,,ENST 420,,ENST 100,,
219,GEOL 305,GEOL 305L Introduction to Engineering Geology,,"GEOL 108, GEOL 105",,,,
220,GEOL 320,GEOL 320L Surficial Processes and Stratigraphic Systems,,"GEOL 334, GEOL 451",GEOL 315,,,
221,GEOL 412,"Oceans , Climate , and the Environment",,,,"CHEM 105, PHYS 151, PHYS 135, MATH 126",,
222,SSCI 382,SSCI 382L Principles of Geographic Information Science,,,,,SSCI 301,"csr00909, csr01335, csr02369"
223,SSCI 483,SSCI 483 L Spatial Science Practicum,,,,,SSCI 382,
224,CLAS 465,CLAS 465 Archaeology and Society,"ARCG 465, REL 465, ANTH 465",,,,,
225,MATH 108,MATH 108g Contemporary Precalculus,,,,,MATH 040,
226,PHYS 125,PHYS 125Lg Physics for Architects,,PHYS 135,,,MATH 108,
227,ARCH 202,ARCH 202a L Architectural Design II,,,,,ARCH 102,
228,ARCH 213,ARCH 213a Building Structures and Seismic Design,,,,"MATH 108, PHYS 125",,
229,ARCH 313,Design of Building Structures,,,,,ARCH 213,
230,ARCH 314,History of Architecture : Contemporary Issues,,,,,ARCH 214,
231,ARCH 411,Architectural Technology,,,,,ARCH 313,
232,ARCH 470,ARCH 470a Architectural Studies Capstone,,ARCH 470,,,,
233,ARCH 302,ARCH 302a L Architectural Design III,,,,,ARCH 202,
234,ARCH 402,ARCH 402a L Architectural Design IV,,,,,ARCH 302,
235,ARCH 500,ARCH 500aL Comprehensive Architectural Design,,,ARCH 501,,ARCH 402,
236,ARCH 501,Critical Topics in Architecture,,,,,ARCH 402,
237,ARCH 502,ARCH 502aL Architectural Design V,,,,,"ARCH 501, ARCH 500",
238,ARCH 526,"Professional Practice : Legal and Economic Context , Project Documentation",,,,,"ARCH 605, ARCH 500",
239,ART 105,ART 105 Art and Design Studio I,DES 105,,,,,
240,ART 106,ART 106 Art and Design Studio II,DES 106,,,,,
241,CRIT 150,"CRIT 150gp Histories of Art , Design and Visual Culture",,FACS 150,,,,
242,CRIT 160,"CRIT 160g Critical Theory in Art , Design and Visual Culture",,,,CRIT 150,,
243,CRIT 350,"CRIT 350gw Global Art , Design and Visual Culture since 1960",,FA 350,,"CRIT 160, CRIT 150",,
244,AHIS 304,AHIS 304m Gender and Difference in the Early Modern Period,SWMS 304,,,,,
245,AHIS 343,AHIS 343 Renaissance Art,,"AHIS 340, AHIS 342",,"AHIS 120, AHIS 121",,
246,AHIS 344,AHIS 344 Baroque Art,,"AHIS 356, AHIS 353",,,,
247,AHIS 361,"AHIS 361 British Modernism , 1780-1918",,AHIS 461,,,,
248,AHIS 368,AHIS 368 Modern Art I : 1700â€“1850,,AHIS 360,,,,
249,ACAD 174,ACAD 174 Innovators Forum,,ACAD 175,,,,
250,ACAD 182,ACAD 182 Case Studies in Innovation,,,,,ACAD 181,
251,ACAD 207,ACAD 207 Multimedia for Designers and Entrepreneurs I,,,,,"ACAD 177, ACAD 180, ACAD 178",
252,ACAD 275,ACAD 275 Dev I,,ITP 204,,,,
253,ACAD 276,ACAD 276 Dev II,,,,,ACAD 275,
254,ACAD 277,ACAD 277 Dev III,,,,,ACAD 276,
255,ACAD 245,ACAD 245 Product Design I,,,,,"ACAD 240, ACAD 323","udc00045, khn00246, khn00276, khn00286, khn00296, khn00256, khn00266, khn00306, khn00316"
256,ACAD 280,ACAD 280 Designing for Experiences,,,,,"ACAD 275, ACAD 276, ACAD 178",
257,ACAD 360,ACAD 360 Design Consulting : Problem Solving for Organizations,,,,,"ACAD 182, ACAD 181",udc00054
258,ACAD 376,ACAD 376 Discerning and Making I : Concept and Feasibility,,,,,"ACAD 177, ACAD 180, ACAD 179, ACAD 178",
259,ACAD 377,ACAD 377 Discerning and Making II : Creation and Implementation,,,,,ACAD 376,
260,ACAD 475,ACAD 475a The Garage Experience,,,,,ACAD 377,
261,ITP 251,ITP 251 Applied Statistics for Analytics,,BUAD 310,,,,
262,ITP 350,ITP 350x Technologies and Practices for Analytics,,,,,"ITP 251, ITP 250",
263,MOR 431,MOR 431 Interpersonal Competence and Development,,MOR 331,,,,
264,ACAD 200,ACAD 200 Advanced Sound and Audio,,,,ACAD 180,,csr01146
265,ACAD 352,ACAD 352 Digital Audio Recording and Processing,,,,ACAD 200,,
266,ACAD 354,ACAD 354 Synthesis and Sound Design,,,,ACAD 200,,
267,ACAD 356,ACAD 356 Audio and Media Integration,,,,ACAD 200,,
268,ITP 308,ITP 308 Computer-Aided Design for Bio-Mechanical Systems,"BME 308, ACAD 308",,,MATH 245,,
269,ASTE 301,ASTE 301a Thermal and Statistical Systems,,AME 311,,,"MATH 245, PHYS 153",
270,ASTE 330,Introduction to Spacecraft Systems and the Space Environment,,,,,"PHYS 153, ASTE 280",
271,ASTR 400,The Solar System,,,,,MATH 226,csr00662
272,ASTR 422,Galaxies and Large-Scale Structures in the Universe,,,,,"PHYS 153, PHYS 163",
273,ASTR 424,Cosmology,,,,,"PHYS 153, PHYS 163",
274,ASTR 450,Stellar Astrophysics,,,,,"PHYS 153, PHYS 163",
275,PHYS 304,Mechanics,,,,,"MATH 245, PHYS 151, PHYS 161",
