link_#,course_id,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
1314,MEDS 440,,,,,"MEDS 220, CHEM 115, BISC 221, BISC 220, CHEM 105, CHEM 103",
1315,MEDS 445,,,,,"BISC 221, BISC 220, MEDS 220",
1316,MEDS 450,,,,,"BISC 221, BISC 220, MEDS 220",
1317,MEDS 460,,,,,"BISC 221, BISC 220, MEDS 220, MEDS 260",
1318,MEDS 465,,,,,"BISC 221, BISC 220, MEDS 220",
1319,MEDS 490,,,,,"MEDS 360, CHEM 115, MEDS 300, BISC 221, BISC 220, CHEM 105, CHEM 103",
1320,COMM 315,,,,COMM 301,,
1321,ECON 348,,,,,"ECON 205, ECON 203",
1322,SSCI 401,,,,"SSCI 301, IR 381",,"khn00631, khn00641, khn00651, khn00661, khn00671, khn00681, khn00691, khn00701, csr00898, csr01320"
1323,MS 401,,MS 400,,,,"csr01877, csr02342, csr01839, csr02209"
1324,MS 402,,MS 410,,,,"csr01877, csr02342, csr02209, csr01831, csr01839, csr01891"
1325,CSCI 425,,,,,CSCI 423,"csr00868, csr02233, csr00872, csr02237, csr01990, csr01990, csr01963, csr01963, csr02250"
1326,CTAN 504,,,,,CTAN 502,"csr00408, csr01907, udc00183, csr00409, csr01908, csr01921, udc00207"
1327,CTIN 479,,,,"CTIN 488, CTIN 190, CTIN 541",,
1328,IML 543,,,,"CTIN 503, CTIN 541",,
1329,ITP 496,,,BAEP 496,,"BAEP 452, ITP 476, ITP 466",
1330,BAEP 496,,,ITP 496,,"BAEP 452, ITP 476, ITP 466",
1331,PHIL 166,,PHIL 140,,,,
1332,PHIL 172,,PHIL 137,,,,
1333,PPD 476,,PPMT 486,,,,
1334,PPD 482,,PPMT 482,,,,
1335,PPD 411,,PPMT 411,,,,
1336,MUJZ 301,,"MUJZ 401, MUJZ 201",,,,
1337,MUJZ 450,,,,MUJZ 150,,
1338,COMM 392,"JOUR 392, PR 392",,,,,
1339,PR 455,,JOUR 455,,,,csr01114
1340,JOUR 460,COMM 464,,,,,"csr00729, csr01753, csr02097, csr02311, udc00200, csr01778"
1341,EALC 429,,,,"HIST 105, EALC 332",,
1342,HIST 498,,,,HIST 201,,
1343,ARCH 547,,,,ARCH 531,,
1344,ARCH 565,,ARCH 465,ARCH 414,,,
1345,HIST 302,SWMS 302,,,,,
1346,PORT 316,,,,,"PORT 300, PORT 240",
1347,ECON 471,,,,,ECON 303,
1348,BISC 431,,BISC 419,,,"BISC 221, BISC 220",
1349,BISC 457,,,,,"BISC 103, BISC 120, BISC 121",
1350,ENST 298,ARCG 298,ENST 298,,,,
1351,BISC 437,,,,,"BISC 313, BISC 325, BISC 320, BISC 330, BISC 221, BISC 220, BISC 120, BISC 121",
