link_#,course_id,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
1104,THTR 303,,,,,"THTR 132, THTR 131",
1105,THTR 330,,,,THTR 130,,
1106,THTR 331,,,,THTR 231,,
1107,THTR 402,,,,,"THTR 132, THTR 131",
1108,THTR 407,,FA 407,,,,
1109,THTR 432,,,,,THTR 330,
1110,THTR 433,,,,,THTR 331,
1111,THTR 434,,,,,THTR 332,
1112,THTR 436,,,,,"THTR 336, THTR 236",csr01146
1113,THTR 441,,,,,THTR 436,
1114,THTR 409,,,,,"THTR 132, THTR 130",
1115,THTR 430,,,,,THTR 333,
1116,THTR 443,,,,,"THTR 397, THTR 333",
1117,THTR 453,,,,,"THTR 430, THTR 333, THTR 397",
1118,THTR 425,,,,THTR 438,,"csr01489, udc00171"
1119,THTR 438,,,,,THTR 230,"csr01489, udc00171"
1120,DANC 280,,THTR 280,,,,
1121,ARCH 444,,ARCH 322,,,,
1122,ART 362,,FAIN 330,,,,
1123,CTWR 250,,,,CTWR 106,,
1124,CTWR 321,,,,,"CTWR 412, CTWR 100, CTWR 402, CTWR 413",
1125,CTWR 421,,,,,"CTWR 514, CTWR 411, CTWR 321, CTWR 529, CTWR 324",
1126,CTWR 434,,,,,"CTWR 321, CTWR 529, CTWR 404, CTWR 324",
1127,CTWR 437,,,,,"CTWR 411, CTWR 421, CTWR 434",
1128,CTWR 439,,,,,"CTWR 421, CTWR 434",
1129,CTWR 449,,,,,"CTWR 411, CTWR 439",
1130,CTWR 453,,,,,"CTWR 415, CTWR 305",
1131,CTWR 419,,,,,"CTWR 411, CTWR 421, CTWR 305",
1132,CTWR 420,,,,,"CTWR 439, CTWR 437, CTWR 404",
1133,CTWR 459,,,,,CTWR 459,
1134,CTWR 407,,,,CTWR 404,,
1135,CTWR 433,,,,,"CTWR 514, CTWR 529, CTWR 414, CTWR 206",
1136,CTWR 435,,,,,"CTWR 415, CTWR 206, CTWR 416",
1137,CTWR 438,,,,,"CTWR 514, CTWR 529, CTWR 414, CTWR 206",
1138,CTWR 468,,,,,"CTWR 514, CTWR 516, CTWR 415, CTWR 416, CTWR 305, CTWR 533",
1139,CTWR 477,,,,,CTWR 404,
1140,CTWR 487,,,,,CTWR 434,
1141,CTWR 497,,,,,"CTWR 404, CTWR 534, CTWR 434",
1142,CLAS 305,,,,"HIST 101, CLAS 151",,"csr01175, khn01112, khn01122, khn01132, khn01152"
1143,ENGL 355,,,,"ARLT 100, WRIT 150, CORE 102",,
1144,HIST 377,EALC 377,,,,,
1145,HIST 463,,,,"HIST 361, HIST 360",,
1146,EALC 304,,,,,EALC 206,"csr02557, csr02558, csr02556"
1147,EALC 315,,,,,EALC 217,
1148,EALC 320,,,,,EALC 222,
1149,EALC 400,,,,,EALC 206,"csr02557, csr02558, csr02556"
1150,EALC 415,,,,,EALC 317,
1151,EALC 386,,,,,EALC 217,
1152,ECON 318,,ECON 414,,,ECON 317,
1153,IML 440,,,,,IML 346,
1154,ART 442,,FASC 436,,,,
1155,ART 120,,FAPT 105,,,,
1156,ART 151,,FAIN 210,,,,udc00135
1157,ART 210,,FADW 201,,,"FADW 101, ART 110",
1158,ART 310,,FADW 301,,,"FADW 201, ART 210",
1159,CTAN 455,,,,"CTAN 462, CTAN 452",,
1160,CTAN 463,,,,,CTAN 462,
1161,CTAN 464,,,,,"CTAN 462, CTAN 452",
1162,CTAN 465,,,,,"CTAN 462, CTAN 452",
1163,CTAN 497,,,,,CTAN 452,
1164,CTAN 502,,CTAN 502,,,,
1165,CTAN 508,,,,,CTAN 462,
1166,CTAN 564,,,,,"CTAN 462, CTAN 452",
1167,CTAN 565,,,,,CTAN 564,
1168,ART 140,,FASC 106,,,,
1169,ART 260,,FAIN 220,,,,
1170,ART 361,,FAIN 315,,,,
1171,CTIN 493,,CTIN 491,,,,
1172,ART 142,,FASC 136,,,,
1173,ART 240,,FASC 206,,,"FASC 106, ART 140",
1174,ITP 415,,,,,ITP 215,"csr00875, udc00047"
1175,ITP 305,,,,,"ARCH 207, ITP 215",
1176,ITP 315,,,,,ITP 215,
1177,ITP 360,,,,,ITP 215,
1178,ITP 450,,,,,ITP 360,
1179,ITP 480,ACAD 480,,,,,
1180,BUAD 305,,"BUAD 286, BUAD 285, BUAD 280, BUAD 281",,,,
1181,ACCT 415,,"ACCT 412, ACCT 411",,,"BUAD 286, BUAD 305, BUAD 285, ACCT 410, BUAD 281","csr00964, csr02533, csr01893, csr00919, csr01036, csr00310, csr00881, csr01870"
1182,PR 340,,JOUR 340,,,,"udc00201, udc00204, csr01859, csr02322, csr00841, csr01055"
1183,PR 341,,JOUR 341,,,"PR 340, JOUR 340",udc00201
1184,PR 342,,JOUR 342,,,"PR 340, JOUR 340",udc00201
1185,PR 343,,JOUR 343,,,"PR 340, JOUR 340","udc00201, udc00204"
1186,MKT 406,,,,,MKT 405,udc00201
1187,ITP 449,,,,,ITP 350,"csr00107, csr01555, csr00026, csr00286, csr00133, csr00249, csr00024, csr00284"
1188,DSO 424,,DSO 424,,,BUAD 310,"udc00180, csr01821, csr01074"
1189,DSO 428,,IOM 428,,,,csr02570
1190,ITP 489,,,,,"ITP 320, ITP 250","csr02075, csr00491"
1191,PR 478,,JOUR 478,,,,"csr00103, csr02031, csr02097, csr02311"
1192,ITP 325,,,,,ITP 125,
1193,ITP 357,,,,,ITP 125,
1194,ITP 370,,,,,ITP 125,"csr01016, csr00910, udc00097, csr01450, csr00907, csr02103, csr00543, csr01452, csr02033, csr02117"
1195,ITP 375,,,,,ITP 125,
1196,ITP 425,ACAD 425,,,,"ITP 301, ITP 325, ACAD 275",
1197,ITP 457,,,,,ITP 357,"udc00097, csr01011"
1198,ITP 475,,,,,ITP 375,
1199,THTR 468,,,,"THTR 201, EDUC 200",,
1200,ECON 404,,,,,ECON 303,
1201,ECON 405,,,,,ECON 303,
1202,ECON 415,,,,,ECON 303,
1203,ECON 420,,,,,"ECON 317, ECON 303",
1204,ECON 432,,,,,"ECON 305, ECON 303",
1205,FBE 324,,,,,"BUAD 350, BUAD 351, ECON 351, ECON 352, ECON 205, ECON 203","csr01036, csr00919, csr01078"
1206,FBE 416,,,,,"BUAD 351, ECON 351, BUAD 311, ECON 203","csr00952, csr00760, csr00941, csr02221"
1207,FBE 433,,,,,"BUAD 306, BUAD 215",
1208,BUAD 315,,BUAD 311,,,,
1209,DSO 401,,IOM 401,,,,
1210,DSO 402,,IOM 402,,,,
1211,ART 130,,FACE 112,,,,
1212,ART 230,,FACE 212,,,,
1213,ART 330,,FACE 312,,,"ART 130, FACE 112",
1214,ART 331,,FACE 313,,"ART 230, ART 130",,
1215,ART 430,,FACE 412,,,"FACE 312, ART 330",
1216,ART 434,,ART 414,,"ART 130, FACE 112",,
1217,EALC 334,,,,,EALC 206,"csr02557, csr02558, csr02556"
1218,EALC 336,,,,,"EALC 334, EALC 304","csr02557, csr02558, csr02556"
1219,HP 345,,CNTV 345,,,,
1220,CTPR 301,,CTWR 301,,,,
1221,CORE 400,,,,CORE 200,,"csr01562, csr01399, csr00010, csr00276, csr00311, csr00882, csr01871, csr01034, csr01099, csr02270"
1222,COMM 330,,,,COMM 311,,
1223,THTR 322,,,,,"THTR 101, THTR 122",
1224,THTR 422,,,,,"THTR 322, THTR 101, THTR 122, THTR 483, THTR 470",
1225,THTR 473,,,,"THTR 101, THTR 122, THTR 470",,
1226,THTR 482,,,,,THTR 474,
1227,CTPR 464,,,,"CTPR 371, CTPR 523, CTPR 476, CTPR 532, CTPR 484",,
1228,CTWR 324,,,,,"CTWR 413, CTWR 412, CTWR 404",
1229,ART 360,,FAIN 320,,,"FAIN 220, ART 260",
1230,COMM 340,,,,COMM 339,,
1231,COMM 375,,,,COMM 204,,
1232,DES 313,,FADN 313,,,"FADN 102, DES 102, DES 203","csr00855, csr01656, csr01674"
1233,DES 333,,FADN 333,,,,
1234,COMM 421,,,,,COMM 322,
1235,COMM 449,,,,COMM 309,,
1236,COMM 486,,,,COMM 385,,
1237,COMM 498,,,,,COMM 310,
1238,ITP 445,,,,,ITP 375,
1239,ITP 446,,,,,ITP 375,
1240,ITP 447,,,,,ITP 375,
1241,ITP 448,,,,,ITP 375,
1242,ITP 365,ACAD 365,,,,"ITP 109, ITP 165, ITP 115","csr00954, csr00056, csr02597, csr01574, csr01988, csr01988, csr00478"
1243,ITP 341,,,,,"CSCI 104, ITP 365",
1244,ITP 342,ACAD 342,,,,"CSCI 104, ITP 365",
1245,FBE 400,,FBE 200,,,,
1246,CE 412,,,,CE 404,,
1247,PSYC 451,,,,,"PSYC 100, PSYC 355",
1248,PSYC 456,,,,PSYC 100,,
1249,DENT 412,,BME 412,,,,
1250,ENGR 305,,,,"CHEM 105, MASC 110",,
1251,COMM 395,SWMS 395,,,,,
1252,COMM 457,,,,,COMM 300,
1253,JOUR 493,COMM 493,,,,,
1254,IR 470,,,,,IR 210,
1255,HIST 464,,,,HIST 363,,
1256,POSC 354,,,,POSC 120,,
