"id","course_name","course_url","description","image_url","provenance","subject"
"edx01055","Introduction to Marketing","https://www.edx.org/course/introduction-marketing-ubcx-marketing1x","Learn the fundamentals of marketing, including strategies and tools used across industries.  ","https://www.edx.org/sites/default/files/course/image/featured-card/marketing1x-video_still_image11232015-318x210.jpg","University of British Columbia","Business & Management"
"edx01056","Anthropology of Current World Issues","https://www.edx.org/course/anthropology-current-world-issues-uqx-world101x-3","Learn to use anthropological ideas to see the world from a range of perspectives and points of view.","https://www.edx.org/sites/default/files/course/image/featured-card/world101x-banner-2017-318210.jpg","The University of Queensland","Humanities;Social Sciences"
"edx01057","People Management for Entrepreneurs","https://www.edx.org/course/people-management-entrepreneurs-iimbx-hr102x","Learn human resources best practices to enhance your business culture and be an effective people manager.","https://www.edx.org/sites/default/files/course/image/featured-card/mm_peoplemanagement_entrepreneurs_318x210.jpg","Indian Institute of Management, Bangalore","Business & Management"
"edx01058","AP® English Literature & Composition – Part 1: Stories","https://www.edx.org/course/apr-english-literature-composition-part-uc-berkeleyx-colwri11-1","Enhance your ability to read and write about great literature in preparation for the AP® English Literature & Composition exam.","https://www.edx.org/sites/default/files/course/image/featured-card/colwri11.1x_banner_318x210.jpg","Berkeley","Literature;Humanities"
"edx01059","Linear Differential Equations","https://www.edx.org/course/linear-differential-equations-bux-math226-2x-1","Learn the mathematical theory of linear differential equations and their application to systems such as the mass-spring system and other linear oscillations.","https://www.edx.org/sites/default/files/course/image/featured-card/linear-differential-equations_378x225.jpg","Boston University","Math"
"edx01060","Microeconomic Principles: Decision-making Under Scarcity","https://www.edx.org/course/microeconomic-principles-decision-making-asux-ecn212x","Step into the fascinating realm of microeconomics – the study of how decisions are made.","https://www.edx.org/sites/default/files/course/image/featured-card/asurightweird-318210.jpg","Arizona State University","Economics & Finance;Social Sciences;Business & Management"
"edx01061","Sharks! Global Biodiversity, Biology, and Conservation","https://www.edx.org/course/sharks-global-biodiversity-biology-cornellx-uqx-bioee101x-0","Learn about the most fascinating animals on Earth, their sophisticated senses and how sharks and their relatives have impacted human history and culture.","https://www.edx.org/sites/default/files/course/image/featured-card/bioee101x_course_image2.png","Cornell University","Biology & Life Sciences;Environmental Studies"
"edx01062","Risk Management for Projects","https://www.edx.org/course/risk-management-projects-adelaidex-riskx","Learn how to manage risk in your organization by using the best processes and procedures.","https://www.edx.org/sites/default/files/course/image/featured-card/riskx_318x210.jpg","University of Adelaide","Business & Management"
"edx01063","Urban Design for the Public Good: Dutch Urbanism","https://www.edx.org/course/urban-design-public-good-dutch-urbanism-delftx-urbanismx-0","Through a unique Dutch approach learn how to design landscapes and cities in response to social and environmental challenges.",,"Delft University of Technology (TU Delft)","Architecture;Engineering;Environmental Studies;Art & Culture"
"edx01064","Artful Medicine: Art’s Power to Enrich Patient Care","https://www.edx.org/course/artful-medicine-arts-power-enrich-brownx-med101x","Discover how the medical community harnesses the power of art and empathy to improve patient care.","https://www.edx.org/sites/default/files/course/image/featured-card/thedoctor_lukefildes_318x210.jpg","Brown University","Medicine;Art & Culture;Humanities"
"edx01065","Human Rights Theory and Philosophy","https://www.edx.org/course/human-rights-theory-philosophy-curtinx-hrig1x-0","Explore what is meant by human rights through learning about the development of the conventional understanding of universal human rights as well as some of the major critiques of the concept.","https://www.edx.org/sites/default/files/course/image/featured-card/curtinx_hrig1x_theoryphilosophy_318x210.jpg","Curtin University","Social Sciences;Humanities"
"edx01066","Learning From Data (Introductory Machine Learning)","https://www.edx.org/course/learning-data-introductory-machine-caltechx-cs1156x-0","Introductory Machine Learning course covering theory, algorithms and applications. Our focus is on real understanding, not just ""knowing.""","https://www.edx.org/sites/default/files/course/image/featured-card/caltech_data_378x225-1.jpg","Caltech","Computer Science;Math;Data Analysis & Statistics"
"edx01067","Agile Development Using Ruby on Rails - Advanced","https://www.edx.org/course/agile-development-using-ruby-rails-uc-berkeleyx-cs169-2x-0","Learn how to apply Agile techniques to enhance and refactor legacy code to become a true Ruby on Rails developer.","https://www.edx.org/sites/default/files/course/image/featured-card/rubyonrails-advanced_318x210_v2.jpg","Berkeley","Computer Science"
"edx01068","The Ethics of Memory","https://www.edx.org/course/ethics-memory-brownx-engl101x","Learn how our personal and collective memories evolve over time, and why memory and memorializing matter.","https://www.edx.org/sites/default/files/course/image/featured-card/ravit_coursephoto_318x210.jpg","Brown University","Philosophy & Ethics;Literature;Humanities"
"edx01069","Sustainable Urban Environments","https://www.edx.org/course/sustainable-urban-environments-trinityx-course-v1trinityxt011x2t2017","Learn how integrated systems and individual actions can shape sustainable cities, generating higher quality of life for the future.","https://www.edx.org/sites/default/files/course/image/featured-card/t011x_318x210.jpg","Trinity College","Environmental Studies;Architecture"
"edx01070","Introduction to Engineering","https://www.edx.org/course/introduction-engineering-utarlingtonx-engr2-0x-0","The application of knowledge to design and build devices, systems, materials and processes in engineering.","https://www.edx.org/sites/default/files/course/image/featured-card/engr1.0x_318x210.jpg","University of Texas at Arlington","Engineering;Math;Physics"
"edx01071","Global History Lab","https://www.edx.org/course/global-history-lab-princetonx-his201x-0","Learn the span of world history from 1300 to the present.","https://www.edx.org/sites/default/files/course/image/featured-card/untitled_318x210.jpg","Princeton University","History;Humanities"
"edx01072","Project Management Techniques for Development Professionals","https://www.edx.org/course/project-management-techniques-idbx-idb6-1x-1","Learn project management best practices to promote economic and social development in Latin America and the Caribbean.","https://www.edx.org/sites/default/files/course/image/featured-card/idb6.1x_image_318x210_0.jpg","Inter-American Development Bank","Business & Management"
"edx01073","Optical Materials and Devices","https://www.edx.org/course/optical-materials-devices-mitx-3-15-2x-0","Learn about the optical properties of materials, including how LEDs, lasers, and solar cell devices are designed.","https://www.edx.org/sites/default/files/course/image/featured-card/315bannerimage_part2_318x210.jpg","Massachusetts Institute of Technology","Engineering;Electronics"
"edx01074","Ancient Egyptian Civilization","https://www.edx.org/course/ancient-egyptian-civilization-bax-bax1-0","Learn about the history, women, and architecture of ancient Egypt from the Library of Alexandria, Egypt's celebrated learning and cultural complex.","https://www.edx.org/sites/default/files/course/image/featured-card/bax1_image_318x210.png","Bibliotheca Alexandrina","History"
"edx01075","Environmental Studies: A Global Perspective","https://www.edx.org/course/environmental-studies-global-perspective-curtinx-env1x-0","Learn the fundamentals of environmental studies as you explore global and local communities and determine solutions to environmental challenges.","https://www.edx.org/sites/default/files/course/image/featured-card/env1x_courseabout_318x210.jpg","Curtin University","Environmental Studies;Science"
"edx01076","Computer Networks and the Internet","https://www.edx.org/course/computer-networks-internet-kironx-fhlcnx","Gain profound knowledge of how computer networks function overall, as well as how they apply to the Internet as a whole.","https://www.edx.org/sites/default/files/course/image/featured-card/kommunikationsnetze_kursgrafik_1318_210.jpg","Kiron Open Higher Education","Computer Science;Communication"
"edx01077","Transfer Functions and the Laplace Transform","https://www.edx.org/course/transfer-functions-laplace-transform-mitx-18-03lx","An intro to the mysteries of the frequency domain and Laplace transform and how they're used to understand mechanical and electrical systems.","https://www.edx.org/sites/default/files/course/image/featured-card/18.03lx_318x210.jpg","Massachusetts Institute of Technology","Math;Physics;Engineering"
"edx01078","Drawing Nature, Science and Culture: Natural History Illustration 101","https://www.edx.org/course/drawing-nature-science-culture-natural-newcastlex-nhi101x-0","Learn how to see and draw nature like an illustrator. Build observational and visual interpretation skills in an interactive and enjoyable way.","https://www.edx.org/sites/default/files/course/image/featured-card/nhi101x_banner_videothumbnail_318_x_210.jpg","The University of Newcastle, Australia","Art & Culture;Biology & Life Sciences;Environmental Studies"
"edx01079","Improving Global Health: Focusing on Quality and Safety","https://www.edx.org/course/improving-global-health-focusing-quality-harvardx-ph555x-0","Access to healthcare services is critical – but is it enough?","https://www.edx.org/sites/default/files/course/image/featured-card/harvardx_ph555x_image_318x210.jpg","Harvard University","Health & Safety;Medicine;Social Sciences"
