special_id,name,provenance,courseList
spc00163,Big History: Connecting Knowledge,Macquarie University,"csr01475, csr01476, csr01477, csr01478, csr01479, csr01480, csr01481"
spc00164,Geographic Information Systems (GIS),"University of California, Davis","csr01482, csr01483, csr01484, csr01485"
spc00165,Web Design for Everybody (Basics of Web Development and Coding),University of Michigan,"csr01486, csr01487, csr01488, csr01489, csr01490"
spc00166,Fundamentals of Computing,Rice University,"csr01491, csr01492, csr01493, csr01494"
spc00167,The Data Scientists Toolbox,Johns Hopkins University,"csr01495, csr01496, csr01497, csr01498"
spc00168,Introduction to Formal Concept Analysis,Higher School of Economics,"csr01499, csr01500, csr01501, csr01502"
spc00169,Journey Conversations: Weaving Knowledge and Action,Yale University,"csr01503, csr01504, csr01505, csr01506, csr01507"
spc00170,Six Sigma Green Belt,University System of Georgia,"csr01508, csr01509, csr01510, csr01511"
spc00171,Introduction to Graph Theory,"University of California, San Diego, Higher School of Economics","csr01522, csr01523, csr01524"
spc00172,"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Yandex,"csr01525, csr01526, csr01527, csr01528, csr01529, csr01530"
spc00173,Probabilistic Graphical Models ,Stanford University,"csr01531, csr01532, csr01533, csr01534, csr01535, csr01536"
spc00174,"Algorithms, Part I",Princeton University,"csr01537, csr01538, csr01539, csr01540, csr01541"
spc00175,Combinatorics and Probability,"University of California, San Diego, Higher School of Economics","csr01558, csr01559, csr01560, csr01561, csr01562"
spc00176,An Intuitive Introduction to Probability,University of Zurich,"csr01563, csr01564, csr01565"
spc00177,Data Science Math Skills,Duke University,"csr01566, csr01567, csr01568, csr01569, csr01570"
spc00178,Introduction to Probability and Data,Duke University,"csr01571, csr01572, csr01573, csr01574, csr01575"
spc00179,Statistics with R,Duke University,"csr01576, csr01577, csr01578, csr01579, csr01580"
spc00180,Probabilistic Graphical Models ,Stanford University,"csr01581, csr01582, csr01583, csr01584"
spc00181,Probabilistic Graphical Models 1: Representation,Stanford University,"csr01585, csr01586, csr01587, csr01588, csr01589"
spc00182,Introduction to Engineering Mechanics,Georgia Institute of Technology,"csr01603, csr01604, csr01605, csr01606, csr01607"
spc00183,Materials Science: 10 Things Every Engineer Should Know,"University of California, Davis","csr01608, csr01609, csr01610, csr01611, csr01612, csr01613"
spc00184,Code Yourself! An Introduction to Programming,"The University of Edinburgh, Universidad ORT Uruguay","csr01614, csr01615, csr01616, csr01617, csr01618"
spc00185,Fundamentals of Engineering Exam Review,Georgia Institute of Technology,"csr01619, csr01620, csr01621"
spc00186,Engineering Systems in Motion: Dynamics of Particles and Bodies in 2D Motion,Georgia Institute of Technology,"csr01622, csr01623, csr01624"
spc00187,Bitcoin and Cryptocurrency Technologies,Princeton University,"csr01625, csr01626, csr01627"
spc00188,Applications in Engineering Mechanics,Georgia Institute of Technology,"csr01628, csr01629, csr01630, csr01631, csr01632"
spc00189,Cryptography I,Stanford University,"csr01646, csr01647, csr01648, csr01649"
spc00190,Essential Design Principles for Tableau,"University of California, Davis","csr01650, csr01651, csr01652, csr01653, csr01654, csr01655"
spc00191,Digital Transformation in Financial Services,Copenhagen Business School,"csr01656, csr01657, csr01658, csr01659, csr01660"
spc00192,Systems Biology and Biotechnology,Icahn School of Medicine at Mount Sinai,"csr01661, csr01662, csr01663, csr01664"
spc00193,Global Warming I: The Science and Modeling of Climate Change,The University of Chicago,"csr01665, csr01666, csr01667, csr01668"
spc00194,Business English: Meetings,University of Washington,"csr01684, csr01685, csr01686, csr01687, csr01688"
spc00195,Introduction to Systems Biology,Icahn School of Medicine at Mount Sinai,"csr01689, csr01690, csr01691, csr01692, csr01693"
spc00196,Dynamical Modeling Methods for Systems Biology,Icahn School of Medicine at Mount Sinai,"csr01694, csr01695, csr01696, csr01697"
spc00197,Software Design Methods and Tools,University of Colorado System,"csr01698, csr01699, csr01700, csr01701, csr01702"
spc00198,"HI-FIVE: Health Informatics For Innovation, Value & Enrichment (Social/Peer Perspective)",Columbia University,"csr01719, csr01720, csr01721, csr01722, csr01723"
spc00199,Subsistence Marketplaces,University of Illinois at Urbana-Champaign,"csr01743, csr01744, csr01745, csr01746, csr01747"
spc00200,Applied Data Science with Python,University of Michigan,"csr01748, csr01749, csr01750, csr01751, csr01752"
spc00201,"Espace mondial, une vision franaise des global studies",Sciences Po,"csr01753, csr01754, csr01755, csr01756, csr01757"
spc00202,Virtual Teacher,"University of California, Irvine","csr01758, csr01759, csr01760, csr01761, csr01762"
spc00203,Advanced Search Engine Optimization Strategies,"University of California, Davis","csr01763, csr01764, csr01765, csr01766, csr01767"
spc00204,"Espace mondial, a French vision of Global studies",Sciences Po,"csr01768, csr01769, csr01770, csr01771, csr01772, csr01773, csr01774"
spc00205,Innovative Finance: Hacking finance to change the world ,University of Cape Town,"csr01789, csr01790, csr01791, csr01792, csr01793, csr01794"
spc00206,Content Strategy for Professionals: Expanding Your Contents Reach,Northwestern University,"csr01795, csr01796, csr01797, csr01798, csr01799, csr01800"
spc00207,Survey analysis to Gain Marketing Insights,Emory University,"csr01839, csr01840, csr01841, csr01842"
spc00208,The Importance of Listening,Northwestern University,"csr01862, csr01863, csr01864, csr01865, csr01866"
spc00209,Pricing Strategy,IE Business School,"csr01867, csr01868, csr01869, csr01870, csr01871"
spc00210,The Business of Social,Northwestern University,"csr01872, csr01873, csr01874, csr01875, csr01876"
spc00211,Channel Management and Retailing ,IE Business School,"csr01877, csr01878, csr01879, csr01880"
spc00212,Introduction to Social Media Analytics,Emory University,"csr01881, csr01882, csr01883, csr01884, csr01885"
spc00213,Essentials of Corporate Finance,The University of Melbourne,"csr01886, csr01887, csr01888, csr01889, csr01890, csr01891, csr01892"
spc00214,Investigacin de mercados y comportamiento del consumidor,IE Business School,"csr01893, csr01894, csr01895, csr01896, csr01897"
spc00215,Business Analytics,University of Pennsylvania,"csr01898, csr01899, csr01900, csr01901"
spc00216,Fundamentals of Global Energy Business,University of Colorado System,"csr01902, csr01903, csr01904, csr01905, csr01906"
spc00217,Business Growth Strategy,University of Virginia,"csr01907, csr01908, csr01909, csr01910, csr01911"
spc00218,Questionnaire Design for Social Surveys,University of Michigan,"csr01922, csr01923, csr01924, csr01925, csr01926"
spc00219,Capstone Design Project in Power Electronics,University of Colorado Boulder,"csr01966, csr01967, csr01968, csr01969, csr01970"
spc00220,Competitive Strategy and Organization Design Project,Ludwig-Maximilians-Universitt Mnchen (LMU),"csr01971, csr01972, csr01973, csr01974, csr01975"
spc00221,Design and Build a Data Warehouse for Business Intelligence Implementation,University of Colorado System,"csr01976, csr01977, csr01978, csr01979"
spc00222,Game Design Document: Define the Art & Concepts,California Institute of the Arts,"csr01980, csr01981, csr01982, csr01983, csr01984"
spc00223,Introduction to Typography,California Institute of the Arts,"csr01985, csr01986, csr01987, csr01988, csr01989"
