"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"PM 514","PM 514 Sexually Transmitted Infections : a Systems Approach","Exploration of the interplay between systems , policy , advocacy , programs , and research with sexually transmitted infections . Issues such as health literacy , access to care , and evidence-based interventions designed to avert disparities in health , especially sexual health , will be evaluated .","","PM 501;PM 512","","","",""
"PM 525","Culture and Health : Global Perspectives","International variations in health status with a focus on the impact of socioeconomic status , politics , environment , education and gender in etiology of illness , access to health care , progression of disease , and recovery .","","","","","",""
"PM 542","Social Network Analysis","Theory , methods and procedures of network analysis with emphasis on applications to public health programs .","","","","","","csr00037/0.46299999999999997;csr01747/0.46299999999999997;csr02159/0.46299999999999997;csr00483/0.38;csr01652/0.3465;csr00559/0.325;udc00097/0.315;csr00190/0.3085;csr00571/0.3085;csr01251/0.3085"
"PM 587","Qualitative Research Methods in Public Health","Introduction to common uses of qualitative research methods in public health research and application . Methods include ethnography , participant observation , open-ended interviewing , and focus groups .","","","","","","csr00848/0.5525;csr01567/0.5525;csr01059/0.49849999999999994;csr01662/0.49849999999999994;csr01736/0.483;csr01115/0.3275"
"PM 546","Biological Threats and Terrorism","History of biowarfare and bioterrorism ; proper surveillance techniques , capacity building for public health and medical communities , and the importance of effective communications . Methods of preparedness , prevention and response are examined .","","PM 512","","","",""
"CMGT 511","Health Communication","Connections between health providers’ communication and patients’ well-being ; consultation language , nonverbal behavior , physical settings , design of media messages , information technologies in patient education and care .","","","","","",""
"CMGT 528","Web Designs for Organizations","Students learn to assess organizations’ online needs , to examine the use of the Internet in terms of electronic commerce and global pressures , and design Web page strategies .","","","","","",""
"CMGT 583","Social Marketing and Entertainment Education","Theoretical foundations of social marketing and entertainment education ; uses of dramatic serials , telenovelas and animation to promote human rights ; program design , evaluation .","","","","","",""
"CMGT 587","CMGT 587 Audience Analysis","Fundamental principles of audience research ; critique of existing methodologies ; implications for global audiences and mass media markets .","","","","","",""
"PM 580","Foundations of Child Health","Overview of issues related to infant , child and adolescent health , including special health considerations at different points in the developmental cycle , health care systems and policies and health disparities .","","","","","",""
"PM 585","Child Health Policy","History of child health and social welfare programs during the past century . Issues examining health status and health service delivery , the role of health care financing and health policy .","","","","","",""
"PM 540","Maternal and Child Nutrition : Practice and Policy","Physiological basis for good nutrition during pregnancy and childhood through adolescence . Design , implementation and evaluation of public health nutrition programs and policies serving women and children .","","PM 530","","","",""
"PM 581","Quality and Inequality in Health Care : Examination of Health Services","Social inequalities , including racial/ethnic disparities and income related inequalities are examined in the context of access and delivery of health care in the U .S .","","","","","",""
"PM 582","Epidemiology and Prevention of Pediatric Injuries","Examines the incidence and causes of injuries to children from birth to adolescence , risk factor distributions and approaches to prevention .","","","","","",""
"PM 583","Foundations of Early Childhood Mental Health","Overview of major infant and early childhood mental health issues , relating to the status of child mental health and the importance of comprehensive systems of care for children that support resilience and respond to biological and psychosocial mental health risks .","","","","","","csr02573/0.41000000000000003"
"PM 565","Introduction to Global Health","Current public health issues and research topics relating to 21st century challenges and threats . Lessons learned and best practices to strengthen public health systems and enhance public health readiness and preparedness .","","","","","","csr00553/0.3215"
"PM 576","Global Health Research and Programs","Introduction to the core concepts and methods of planning and implementing health-related programs and research in resource-constrained settings .","","","","","","csr00553/0.3915;csr02165/0.323"
"PM 557","Global Environmental Health","Examination of the health effects of global environmental changes , including climate change , globalization , food safety , air pollution , water pollution , and radiation .","","","","","","csr00990/0.4165"
"PM 567","Disasters , Conflict and Global Health","Definition and chronology of natural and man-made disasters and their effects on the global community . Structure and organization of disaster management systems and the role of humanitarian organizations .","","PM 501;PM 512","","","",""
"PM 568","Ethical Issues in Global Health","Ethical principles in the distribution of health resources , conduct of global public health research , and implementation of public health initiatives across different nations , cultures , religions .","","PM 501","","","",""
"PM 577","PM 577 Global Health , Law and Human Rights","Highlights the complex interactions between global health , law and human rights , emphasizing the use of human rights in public health thinking and practice .","","","","","LAW 707",""
"PM 578","Global Health Governance and Diplomacy","Investigates the way health is organized and administered at the global level , emphasizing the role of international diplomacy and law in governing health .","","","","","",""
"PM 547","PM 547 Public Health Policy and Politics","Examination of major policy issues in the U .S . health care delivery system to understand policy options in reforming health care and reducing health care disparities . ","PM 509","","","","",""
"PPD 560","PPD 560 Methods for Policy Analysis","Examination of methods used in the analysis of policy methods , including cost benefit analysis , decision and risk analysis , and applied social science methods . ","PPD 502;PPD 554;PPD 501","","","","PUAD 572",""
"PM 548","PM 548 Prevention and Public Policy","Introduction to prevention policy framework ; examination of how the application of epidemiology and behavioral aspects of diseases shapes the development of public health policy . ","PM 508;PM 512","","","","",""
"PM 555","Environmental Health , Policy and Practice","Examination of environmental public health policies/regulations , the role of science in assessment and policy initiatives , barriers to change , and competing interests that influence policy adoption .","","PM 529","","","",""
"PM 504","PM 504 Quality in Health Care","Examines quality assessment at different levels of the health care system including health plans , physicians , hospital and integrated system performance . ","PM 508","","","","",""
"PM 556","Environment and the Brain","An examination of the effects of environmental exposures on the brain , addressing both human health and neurobiologic correlates throughout the lifespan .","","","","","",""
"PPD 554","PPD 554 Foundations of Policy Analysis","Introduction to public policy analysis ; issue diagnosis and policy design ; analytic reasoning and argumentation ; the role of the public policy professional ; ethical issues in policy analysis .","","","","","",""
"PPD 555","Public Policy Formulation and Implementation","Political and organizational perspectives on policy making process ; agenda setting , policy design , adoption , implementation , evaluation , modification or termination . Policy leadership skills : negotiation and strategic mapping .","","","","","",""
"PPD 561","PPD 561a Policy Analysis Practicum","Application and integration of the knowledge and techniques of analytic , quantitative , managerial , political and ethical analyses to specific public policy problems .","","","","","PUAD 589",""
"PPD 654","PPD 654 Information Technology Management in the Public Sector","Application of computer and information technology in government ; e-government ; information technology architecture ; systems project management .","","","","","PPD 518",""
"PPD 656","PPD 656 Political Management : Theory and Applied Techniques","Political management theories ; strategy formation ; research and data collection approaches ; computer applications ; electronic databases ; issue management ; problem-solving techniques ; ethical considerations .","","","","","PUAD 545",""
"PPD 673","PPD 673 Strategic Planning in the Public Sector","Analysis/field application of action research models for strategic planning in public agencies ; design of effective public systems ; citizens/administrators’ roles in strategic decision-making .","","","","","PUAD 574",""
"COMM 650","Survey Construction and Validation","Principles of survey construction and validation ; format selection , sampling , question wording , adaptation for international audiences , response option formats , order , and avoiding acquiescence bias and breakoffs .","","","","","",""
"PPD 587","PPD 587 Risk Analysis","Concepts of risk analysis , risk in engineered systems , environmental risk , security risks ; fault trees , event trees , risk simulations ; risks and decision-making .","","","ISE 587","","","csr01079/0.347"
"PPD 647","PPD 647 Finance of the Public Sector","Sources of government revenue , intergovernmental financial relations , budgeting , public goods theory . Theoretical and applied skills in analysis of equity and efficiency issues . ","PPD 501","","","","PUAD 513",""
"PPDE 660","Environmental Policy Design and Analysis","Analytical foundation for design of institutions and policies ; environmental policy ; welfare economics and market failure ; policy evaluation ; economic policy instruments ; climate change policy issues ; other policy issues . ","PPD 501;PPD 501","","","","",""
"PPDE 661","Methods for Equity Analysis","Techniques to measure inequality and segregation . Policy evaluation using techniques for casual inference . ","PPD 558","","","","",""
"SOCI 621","SOCI 621L Quantitative Methods and Statistics II","Casual modeling and the inter-relationships among social phenomena : covers the basic elements of casual inference and generalizability , linear regressions analysis , and categorical data analysis . ","SOCI 521","","","","","csr01735/0.385;csr00847/0.3815;csr01566/0.3815"
"ECON 610","Quantitative Analysis in Macroeconomics","Dynamic economics , applied general equilibrium models , computational and calibration tools , discrete-state dynamic programming , log-linearization of Euler equations . ","ECON 602;ECON 605","","","","",""
"ECON 612","Econometric Theory","Inference and prediction , generalized and restricted least squares , specification analysis , multivariate and seemingly unrelated regressions , simultaneous equations techniques , dynamic models , instrumental variable estimation . ","ECON 609","","","","",""
"ECON 691","ECON 691 Seminar in Econometrics","Current research in econometrics presented by faculty , students and outside scholars .","","","","","",""
"MPKS 501","MPKS 501 Individual Instruction","Secondary instruction for graduate music majors or instruction for graduate non-music majors .","","","","","",""
"MSCR 571","MSCR 571 Music of the Great Liturgies","Comparison of the Jewish , Eastern Orthodox , Roman Catholic , Lutheran , and Anglican liturgies and their music ; relation to music in the nonliturgical service ; the church year .","","","","","MUCH 571",""
"MSCR 572","MSCR 572 Sacred Music Administration","Developing , maintaining and administering the music program of the church or other religious institutions . Programming , staffing , developing budgets , techniques and repertoire for the graded choir program , handbell choir and other ensembles .","","","","","MUCH 572",""
"MSCR 590","MSCR 590 Directed Research",", 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10 , 11 , 12Research leading to the master’s degree . Maximum units which may be applied to the degree to be determined by the department .","","","","","MUCH 590",""
"MSCR 473","MSCR 473 Hymnology","Study of hymns and hymn tunes , and their functions , from the formation of the Christian Church to the present ; historical survey of the literature .","","","","","MUCH 473",""
"MSCR 474","MSCR 474 The Organ in Worship and Congregational Life","Accompanying ; hymn playing , transposition , improvisation , vocal score reading ; conducting from the console ; service repertoire . Basic knowledge of the organ as an instrument and planning for and purchase of an organ .","","","","","MUCH 474",""
"EDCO 505","Counseling and Collaborative Consultation in the School Setting","Theory and practice of collaborative consultations provided by school counselors and school psychologists to improve student achievement and the learning environment .","","","","","",""
"EDCO 574","EDCO 574 School Counseling Practicum","Supervised practice in school counseling . ","EDCO 503;EDCO 541","","","","",""
"EDCO 575","EDCO 575 School Counseling Field Experience","Supervised field experience in applying knowledge and skills within a K–12 school setting . ","EDCO 574","","","","",""
"EDUC 511","Introduction to Counseling","The role of the school counselor . An overview of key elements in increasing access to and equity for primary and secondary education for all students .","","","","","",""
"EDUC 520","Counseling for College and Career Readiness I","Theoretical foundations of individual and systemic characteristics that impact college and career choices . Consideration of economic , political , social , and policy issues .","","","","","",""
"EDUC 600","Counseling for College and Career Readiness II","Planning and implementing theoretical foundations of college and career counseling . The application of contextually relevant strategies for assisting in college and career choices .","","","","","","csr02324/0.346"
"EDUC 607","Role of School Counselors in Student Learning and Motivation","The process of identifying and assessing learning and motivational issues in schools , the application of research-based interventions , and the evaluation of effectiveness of these interventions .","","","","","",""
"EDUC 608","School Connectedness , Climate , and Classroom Management","Prevention , education , and training for achievement . Data collection for assessment and evaluation of school climate , crisis and classroom management conducive to learning and success .","","","","","",""
"EDUC 612","Application of Human Development Theory in School Counseling","A theoretical perspective of human development across the lifespan . Issues and challenges faced by school counselors .","","","","","",""
"EDUC 618","School Counseling Professional Portfolio","Preparation of an electronic resource portfolio that addresses a field based practice . The culminating experience for the M .Ed . , School Counseling program .","","","","","",""
"EDUC 621","Measurement and Evaluation for School Counselors","The use of formal and informal assessments to improve student achievement and well-being . Use of assessment data for intervention and evaluation .","","","","","",""
"EDUC 533","School Leadership : Theory and Practice","Theories and principles of leadership and the application of principles to solve authentic problems in elementary and secondary schools .","","","","","",""
"EDUC 537","Leading with the Community and Culture in Context","Creating a positive culture of learning to promote student success . Strategies to engage diverse communities .","","","","","",""
"EDUC 538","Entrepreneurial School Leadership","Entrepreneurial opportunities in education . Developing the skills and knowledge for entrepreneurial leadership to improve educational outcomes .","","","","","",""
"EDUC 548","Data-Driven Leadership for Schools","Analyzing , interpreting , and using data to increase effectiveness of instruction and programs , improve student learning , and reduce or eliminate the achievement gap .","","","","","",""
"EDUC 549","Supervising Instruction for Optimal Learning","Application of adult learning theory to evaluate instruction . Appropriate professional development to improve student achievement .","","","","","",""
"EDUC 604","National Perspective on School Leadership","Students will examine the cultural , political , and economic issues pertinent to urban education within the national context to prepare them to be effective school leaders .","","","","","",""
"EDUC 641","Human Capital and School Organization","School leadership , organization , management and development of school personnel . Capitalizing on school resources to meet school goals .","","","","","",""
"EDUC 643","Advancing Community Support through Social Media","Use of social media to communicate school vision . Incorporating objectives , strategies , assessment , and accountability measures in communication plans .","","","","","",""
"EDUC 647","School Leadership Seminar","Planning , design , and development of an action research plan for school improvement using multiple measures of project assessment .","","","","","",""
"EDUC 648","Apprenticeship in School Administration and Leadership","Supervised field experience in administrative areas of K–12 schools . Development of Administrative Services Portfolio .","","","","","",""
"SCOR 502","SCOR 502 Individual Instruction in Advanced Screen Scoring","Individual instruction and review of students’ work . Selected composers , orchestrators , filmmakers , and other important industry collaborators offer their insights on scoring and career building .","","","","","MUCO 520;MUCO 545",""
"SCOR 503","SCOR 503a Advanced Scoring for Motion Pictures and Television","Scoring principles involved in designing , timing , and composing scores for video projects , including documentaries , animated , and live-action projects . Will also include composing for live recording sessions . ","","","","","MUCO 440",""
"SCOR 504","SCOR 504a Orchestral Scoring","Explores the sounds of and notations for the major orchestral instruments ; provides instruction on implementation of those instruments in scoring and orchestrating for the screen .","","","","","MUCO 443",""
"SCOR 505","SCOR 505a Advanced Game Scoring and Integration","Explores more sophisticated principles and techniques involved in the unique aspects of composing and integrating music for video games .","","","","","MUCO 540",""
"SCOR 506","SCOR 506 Applied Techniques in Contemporary Scoring","Explores the most recent artistic and technological innovations in film/television scoring , and includes creating cues from adapted themes .","","","","","MUCO 522",""
"SCOR 511","SCOR 511a History of Film Scoring","Examines the evolution of movie music from 1920s to present . Includes recorded interviews with the most significant film composers and film clips of their work .","","","","","MUCO 442",""
"SCOR 512","SCOR 512 Entrepreneurialism for the Screen Composer","Addresses challenges facing emerging screen composers , including negotiating deals ; establishing a studio , production budgets , and a publishing business ; tracking royalties ; licensing music ; and engaging representation . ","","","","","",""
"SCOR 521","SCOR 521a Recording , Mixing and Editing for the Screen Composer","Addresses the need for modern-day screen composers to produce and digitally record , sweeten , mix , and edit much of their own music .","","","","","MUCO 560",""
"SCOR 523","SCOR 523a Advanced Screen Scoring Technology","Explores sophisticated principles and applications of technologies for screen scoring , including the use of synthesizers , samplers , and sequencers .","","","","","MUCO 523",""
"EDUC 512","Reading and Writing Methods for Secondary Teaching","Analysis of reading/writing processes ; methods for teaching literacy in grades 9–12 ; issues in biliteracy and instruction .","","","","","",""
"BAEP 564","BAEP 564 Investing in Impact Ventures","Exploring the field of social impact investing , learn how social entrepreneurs attract for-profit investors and how conscious investors are utilizing investments to achieve social impact .","","","","","",""
"BAEP 566","BAEP 566 Cases in Feasibility Analysis for Social Ventures","Study of analytical techniques used to evaluate business concepts with a specific focus on the development of a new social venture .","","","","BAEP 591","BAEP 552",""
"BAEP 567","Design , Develop , and Deliver","Develop the analytical , conceptual , and practical skills required to design , develop , and deliver a new social business concept and opportunity . ","BAEP 556","","","","",""
"BAEP 571","BAEP 571 Social Innovation Design","Use innovative problem-solving approaches to design radically affordable solutions to challenges faced by under-resourced communities . Engage in early-stage market and rapid prototyping .","","","","","","csr01716/0.3655;csr01799/0.35450000000000004;csr01930/0.3415;csr02091/0.3405;csr00845/0.3155;csr01407/0.3155;csr02130/0.3155"
"SOWK 536","SOWK 536 Policy and Advocacy in Professional Social Work","A study of the complex and interconnecting systems of policy , programs and communities that directly and indirectly impact Social Workers’ clients’ lives .","","","","","SOWK 534",""
"SOWK 544","Social Work Practice With Individuals , Families , and Groups","Principles underlying generic social work practice with emphasis on working with individuals , families , and groups .","","","","","SOWK 543;SOWK 545",""
"SOWK 546","Science of Social Work","Introduction to the role of scientific inquiry in advancing social work goals . Inspires students to include science in their social work identity and professional decision-making .","","","","","SOWK 562","khn00081/0.309;khn00085/0.309;khn00091/0.309;khn00095/0.309;khn00101/0.309;khn00105/0.309;khn00111/0.309;khn00115/0.309;khn00121/0.309;khn00125/0.309"
"SOWK 588","Integrative Learning for Social Work Practice","Integrative learning organized as a small group educational environment that incorporates field experiences , case vignettes , and dialogical inquiry through a Problem Based Learning framework .","","","","","",""
"SOWK 589","Applied Learning in Field Education","Supervised field education where students learn and apply evidence-based interventions and clinical skills in practice labs and social work settings .","","","","","SOWK 586",""
"SOWK 611","SOWK 611 Leadership and Management in Social Work","Methods and principles of leadership and management applied to social work practice , understood as policy , management and clinical practice in the non-profit sector , health and human service organizations , and non-traditional social work settings .","","","","","","csr01877/0.3325;csr02342/0.3325"
"SOWK 698","SOWK 698a Integrative Learning for Advanced Social Work Practice","Advanced integrative learning that incorporates field experiences , evidenced-based interventions , case vignettes and dialogical inquiry through a Problem Based Learning framework . ","SOWK 588;SOWK 589","","","","",""
"SOWK 699","Advanced Applied Learning in Field Education","Advanced supervised field education where students practice social work skills and apply evidence-based interventions , including some that are specific to their academic department . ","SOWK 588;SOWK 589;SOWK 589","","","","SOWK 686",""
"SSCI 580","Spatial Computing","Theoretical foundations , methods , techniques , and software systems for spatial computing , including geospatial semantic web and linked data , spatial data mining , geocoding , and document linking .","","SSCI 581;INF 510","","","",""
"SSCI 596","SSCI 596 Internship in Spatial Sciences","Part-time or full-time practical work experience in the student’s field of study at an off-campus facility under faculty direction .","","","","","",""
"JOUR 582","Specialized Journalism : Reporting Decisions","Reporting and analysis of decision making ; case studies and analytical tools in dissecting decisions for readers , listeners and viewers . Open only to specialized journalism (the arts) and specialized journalism majors .","","","","","",""
"JOUR 594","Master's Thesis","Credit on acceptance of thesis .","","","","","",""
"JOUR 595","JOUR 595 Critical Thinking : The Art and Science of Not Getting Fooled","Researching and writing about how not to get fooled as a journalist ; includes research , writing and discussion . Open only to journalism and specialized journalism majors .","","","","","",""
"JOUR 571","JOUR 571 21st Century Sports Storytelling","Seminar in how to report and write sports : news , previews , profiles , features , columns .","","","","","",""
"JOUR 572","Reporting on Entertainment and Popular Culture","Reporting about entertainment , popular culture and their impact on American society ; survey of past media coverage and current practices .","","","","","",""
"JOUR 578","Reporting on Globalization","Understanding globalization , its origins , history and major characteristics . Developing skills in reporting , describing , analyzing , and responding to globalization .","","","","","","csr01378/0.3095"
"JOUR 584","Specialized Reporting : Education , Youth and Learning","Reporting and writing on education ; survey of historical and contemporary issues affecting children , families and public education .","","","","","",""
"JOUR 588","Cities , Climate and Risk","Reporting and writing on urbanization , climate change and environmental harm .","","","","","",""
"JOUR 589","Specialized Reporting : The Changing U .S . Population","Reporting and writing on immigration and other forms of demographic change ; survey of immigration , the journalism it has generated and the impact of coverage .","","","","","",""
"JOUR 591","Arts Writing Practicum","Intensive writing workshop on the craft of arts criticism and persuasive writing of different arts genres .","","","","","","csr01505/0.315"
"JOUR 592","JOUR 592 Arts Journalism : Storytelling and Production","Reporting and writing on the arts ; strategies for arts journalism in the digital era ; survey of essays and reviews by great critics .","","","","","",""
"JOUR 593","Arts Criticism and Commentary","Writing workshops and independent fieldwork ; development of critical skills to write socially valuable criticism and commentary about art , entertainment and culture . ","JOUR 591","","","","",""
"DSR 574","DSR 574 Stem Cell and Developmental Biology Seminar Series","Selected topics in Development , Stem Cell , and Regeneration .","","","SCRM 574","","",""
"DSR 620","DSR 620 Current Topics in Stem Cell Biology and Organogenesis","Selected topics on sub-fields within stem cell biology and organogenesis . Includes review of contemporary literature and research . Open only to master and doctoral students .","","","SCRM 620","","",""
"SCRM 511","SCRM 511 Developmental Biology and Human Embryology","Survey of anatomical , cellular and molecular processes that underlie human development and congenital malformations , with discussion of other species for comparison .","","","","","",""
"SCRM 513","SCRM 513 Stem Cells and Regenerative Medicine","A comprehensive investigation of embryonic , fetal and adult stem cells and the application of stem cell biology to treat disease .","","","","","",""
"SCRM 580","SCRM 580 SCRM External Speaker Seminar Series","Reading and discussion of recent papers by the SCRM speaker of the week , and attendance at the speaker’s seminar .","","","","","",""
"DSR 610","DSR 610 Current Topics in Regenerative Medicine","Selected topics on sub-fields within developmental and stem cell biology including review of contemporary literature and research .","","","SCRM 610","","",""
"SCRM 515","SCRM 515 Bringing Stem Cells to the Clinic","Lectures addressing the business , legal , ethical , manufacturing and regulatory aspects involved in moving stem cells or related product into clinical practice .","","SCRM 513","","","",""
"SCRM 522","SCRM 522L Biological Imaging in Stem Cell Research","Theory and practice of using microscopy and flow cytometry in stem cell biology , including sample preparation , digital processing and data analysis .","","","","","",""
"SCRM 524","SCRM 524L Culture and Differentiation of Human Pluripotent Stem Cells","Classroom and laboratory experience in the techniques for deriving , culturing and differentiating human pluripotent stem cells (hPSCs) and related cell types .","","","","","",""
"SCRM 555","SCRM 555 Writing About Stem Cell Biology and Regenerative Medicine","Instruction in writing for various audiences on topics related to stem cell biology and regenerative medicine .","","","","","",""
"SCRM 590","SCRM 590 Independent Research","Independent research conducted under the guidance of faculty in the Department of Stem Cell Biology and Regenerative Medicine . ","SCRM 511;SCRM 513;SCRM 515;SCRM 522;SCRM 524;SCRM 555;SCRM 580","","","","",""
"PR 504","PR 504 Strategic Public Relations Research , Evaluation and Insights","Covers use of primary and secondary research methods , analysis , web monitoring and analytics , pre- and post-campaign testing , and other techniques in program planning and evaluation . ","PR 508;JOUR 508","","","","JOUR 504","csr01115/0.3755"
"PR 508","PR 508 Introduction to Strategic Public Relations","A survey of the profession , focusing on the key role of strategic public relations in today’s information-based society ; provides a social , economic and political context for the program .","","","","","JOUR 508","csr01114/0.573;csr01118/0.387;csr01115/0.363;csr01116/0.3345;csr01126/0.3115"
"PR 510","PR 510 Legal , Ethical and Social Foundations of Strategic Public Relations","Explores the origins , effects of , and processes for adhering to the complex network of legal , ethical and social responsibilities of the contemporary PR practitioner .","","","","","JOUR 510",""
"PR 527","PR 527 Multimedia Content Creation for Strategic Public Relations","Covers the conceptualization and creation of strategy-based , engaging , primarily web-based multimedia content for use by organizations of all types . ","PR 508;JOUR 508;PR 535;JOUR 535","","","","JOUR 527",""
"PR 529","PR 529 Business and Economic Foundations for Public Relations","eaking the language of the board room ; understanding business goals and objectives ; economic literacy ; financial/investor relations ;","","","","","","csr01114/0.3675;csr01118/0.30750000000000005;csr01115/0.30150000000000005"
"PR 535","PR 535 Writing for Strategic Public Relations","Intensive focus on the specialized writing requirements of online , broadcast , print and other public relations media ; includes content analysis of strategic public relations materials .","","","","","JOUR 535","csr01114/0.5565;csr01115/0.3725;csr01116/0.3655;csr01118/0.354"
"SAE 560","Economic Considerations for Systems Engineering","Impact of economic factors for systems architects and engineers , tools for understanding these factors , fundamental quantitative analysis of cash flow , life-cost estimating for systems and software engineering .","","","","","",""
"SAE 542","SAE 542 Advanced Topics in Systems Engineering","Advanced topics in integration software management and systems engineering , probabilistic foundations of decision-based theory , quantitative risk management , decision-based design , and safety aspects of systems engineering .","","","","","ISE 542","csr01634/0.3365"
"SAE 547","Model-Based Systems Architecting and Engineering","Approaches for modeling systems using software such as SySML ; modeling system , requirements , structure , behavior , and parametrics ; mapping to hardware description language and behavioral code generation .","","","","","","csr00426/0.35250000000000004;csr00727/0.35250000000000004;csr00982/0.35250000000000004;csr01112/0.35250000000000004;csr02013/0.35250000000000004;csr02062/0.343"
"SAE 548","Systems/System-of-Systems Integration and Communication","Essentials of systems and system-of-systems integration from the perspectives of business , programs , and technology . Process , legacy , and systems-of-systems integration . Verification and validation methods . Case studies .","","","","","",""
"MOR 561","MOR 561 Strategies in High-Tech Businesses","How high-tech companies achieve competitive advantage through leveraging technical , management and financial resources . Technology trends and industry evolution . Focus on electronics and bio-technology . Cases and speakers .","","","","","",""
"SAE 550","SAE 550 Systems Architecting and the Political Process","Analysis of risks inherent in managing hightech/ high-cost government-funded engineering programs ; tools and techniques for coping with the impacts of politically-driven budgets on the engineering design process .","","","","","ISE 550",""
"ISE 506","ISE 506 Lean Operations","Study of lean principles and practices as applied to various industries .","","","SAE 551","","SAE 551","csr00134/0.3325"
"SAE 543","Case Studies in Systems Engineering and Management","Real-world case studies in DoD , NASA , and commercial arenas , employing new methodologies to cover the fundamental positive and negative development learning principles of systems engineering .","","","","","",""
"AME 521","Engineering Vibrations II","Multi-degree of freedom systems ; modal analysis . Rayleigh’s quotient . Continuous systems ; modal analysis . Beams , rods , membranes . Colocations , Galerkin , Rayleigh Ritz methods ; finite elements . ","AME 420","","","","",""
"AME 548","AME 548 Analytical Methods in Robotics","IrregularHomogeneous transformations ; formal description of robot manipulators ; kinematic equations and their solution ; differential relationships ; dynamics ; control ; static forces ; compliance . ","EE 545;EE 482;AME 451","","","","","csr02289/0.307"
"EE 587","Nonlinear and Adaptive Control","Nonlinear systems , Lyapunov Stability , Parameter Identification , direct and indirect adaptive control for linear and nonlinear systems . Design analysis , stability , robustness and applications . Backstepping , feedback linearization . ","EE 482;EE 585","","","","",""
"EE 551","Principles of Radar","IrregularSignal propagation , reflections from targets ; radar equation ; detection of scintillating targets ; resolution ; ambiguity functions ; clutter rejection ; tracking radars . ","EE 364;EE 470","","","","",""
"EE 563","EE 563 Estimation Theory","Parameter estimation and state estimation technique including : least squares , BLUE , maximum-likelihood , maximum a posteriori , Kalman-prediction , Kalman-filtering and Kalman smoothing and extended Kalman filtering . ","EE 503","","","","",""
"EE 561","Foundations of Artificial Intelligence","(Enroll in CSCI 561 )","","","","","","udc00102/0.4275;udc00116/0.3555;udc00012/0.3385;udc00138/0.3365;udc00216/0.31"
"EE 574","Computer Vision","(Enroll in CSCI 574 )","","","","","","udc00139/0.4615;csr00391/0.3695"
"CE 519","Transportation Engineering","Principles of analysis and planning . Characteristics of transportation systems . Urban and regional systems . Relationship between environment and transportation systems . Estimating the impact of decisions .","","","","","",""
"CE 525","CE 525 Engineering Mathematical Analysis","Engineering problems discussed on a physical basis with solutions via mathematical tools : Vector analysis ; functions of complex variables , infinite series , residues and conformal mappings .","","","","","CE 525",""
"CE 533","Geotechnical Earthquake Engineering","Provides a design-oriented understanding of the “stateof- the-practice” of soil mechanics and foundation engineering aspects of earthquake engineering .","","","","","",""
"CE 536","Structural Design for Dynamic Loads","Earthquake resistant design criteria with application to steel reinforced concrete and timber structures . Design of blast resistant structures and structures subject to impact loads . ","CE 459;CE 541","","","","",""
"ISE 570","Human Factors in Engineering","Psychological and physiological characteristics of humans ; how they limit engineering design of machines and human-machine systems .","","","","","",""
"ISE 564","Performance Analysis","Measurement systems for performance analysis . Determination of performance metrics , analytical models , case studies . Cross-industry comparisons , measures for manufacturing and service systems , information and knowledge workers .","","","","","",""
"EE 598","EE 598 Electrical Engineering Research Seminar","Introduction to research in electrical engineering . Topics vary by semester . May be repeated for up to one unit of credit for MS students , two units of credit for PhD students .","","","","","","khn01275/0.5245;khn01285/0.5245;khn01295/0.5245;khn01305/0.5245;khn01315/0.5245;khn01325/0.5245;khn01265/0.4595"
"EDUC 506","New Media Literacies in High Needs Schools","Instructional procedures and resources for encouraging secondary students’ interests in communications , cultural studies , media production , and literacy education . Open only to MAT Single Subject , Single Subject (online) , TESOL and TESOL (online) students .","","","","","",""
"EDUC 516","EDUC 516 Framing the Social Context of High Needs Schools","Introduction to the Master of Arts in Teaching Program . Relationship between the actions of the teacher and student learning in the classroom and school context . Open only to MAT and MAT (online) students .","","","","","EDUC 517",""
"EDUC 518","EDUC 518 Application of Theories of Learning to Classroom Practice","Learning theories and instructional practices for teaching . Procedures involved in curriculum development , planning , evaluation , and practical application . Open only to MAT and MAT (online) students .","","","","","",""
"EDUC 529","Political and Academic Issues Affecting Gifted Students","Examination of the political and academic issues affecting gifted and high-ability students . Psychosocial reasons contributing to achievement and underachievement . Institutional and personal factors inhibiting potential . Open only to MAT students .","","","","","",""
"EDUC 550","Multimedia Literacy","Applying new technology in the classroom . Exploration of the use of multimedia tools to increase literacy . Examination of multiple forms of technology to facilitate learning . Open only to MAT and Gifted Education Certificate students .","","","","","","csr01818/0.3235"
"EDUC 564","Teacher Leadership","Strategies of leadership that lead from influencing learning in the classroom to influencing learning across an entire school . Becoming an instructional leader .","","","","","","csr02368/0.335"
"EDUC 573","Introduction to Special Education","Effective and appropriate educational settings for students with disabilities . Legal and professional responsibilities . Components for an inclusive classroom .","","","","","",""
"EDUC 530","Differentiated Curriculum and Pedagogy for Gifted Students","Recognizing the talent and potential of gifted and high ability students . How gifted education can be generalized to affect the education of all students . Open only to MAT students .","","","","","",""
"EDUC 575","Assessment and Curriculum for Students with Disabilities","Developing effective educational interventions for students with disabilities . Formal and informal assessment . Curriculum strategies .","","","","","",""
