"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"GEOL 440","GEOL 440 L Geophysics and Geoengineering","Plate tectonics , magnetic and gravity fields , earthquakes , seismic waves , reflection and refraction seismics , heat transport , mantle convection , deep Earth structure , data analysis . Includes field trip . ","MATH 126","","","PHYS 135;PHYS 152","",""
"GERM 201","German III , Conversation and Composition","Intermediate German . Increasing emphasis on listening and speaking skills and a review of basic structures of German . Discussion of cultural aspects . ","GERM 102","","","","",""
"GERM 221","Conversational German IV","Conversational German in a variety of topical settings and vocabulary domains . ","GERM 201","","","","",""
"GERM 310","Business German I","Introduction to German business language structure including correspondence and oral communication . In German . ","GERM 201","","","","",""
"GERM 311","Business German II","Continuation of GERM 310  . Terminology and style of commercial and legal texts , analyzed and applied in oral and written work . In German . ","GERM 201","","","","",""
"GERM 470","Advanced Composition and Stylistics","Development of competence in written expression ; fundamentals of style in expository writing . In German .","","","","","",""
"GERM 320","Composition and Conversation on Contemporary Affairs","Practice in oral and written German , emphasizing contemporary cultural and social developments in the German-speaking countries of Europe . In German . ","GERM 221","","","","",""
"GERM 325","Composition and Conversation in Cultural History","Practice in oral and written German , emphasizing the cultural history of the German-speaking countries of Europe . In German . ","GERM 221","","","","",""
"GERM 330","Introduction to Literary Studies","Review of essential literary terms , concepts , and critical methods through analysis and discussion of selected primary and secondary works . In German .","","","","","",""
"GERM 352","Colloquium on Poetry","Definition and analysis of lyric genre through a study of major poets , such as Goethe , Schiller , Heine , Rilke , and Hofmannsthal ; poetic traditions from the 17th century to the present . In German .","","","","","",""
"GERM 353","Colloquium on Prose","Study of German prose from the 18th century to the present ; emphasis on narrative and thematic perspectives in relation to social change and on modernism since Kafka . In German .","","","","","",""
"GERM 410","Profile of German Literature I","Survey of major trends in German literature within their historical and cultural contexts from the beginnings to the Baroque period . In German .","","","","","",""
"GERM 420","Profile of German Literature II","Survey of major trends , figures , and authors in German literature and culture of the 18th and 19th centuries within the European context . In German .","","","","","",""
"HIST 428","Life and Death in Nazi Germany","Social , cultural and medical history of Nazi Germany , emphasizing the Nazi vision of a racially pure national community .","","","","","",""
"COMM 324","COMM 324mw Intercultural Communication","Cultural variables and social psychological processes that influence intercultural interaction ; relationship between communication and culture in diverse settings including business , medicine , and education .","","","","","",""
"COMM 385","COMM 385 Organizational Communication","How communication processes both create organizations and are constrained by them . Theory and research into topics such as culture , technology , power , leadership and decision-making in a variety of organizational contexts .","","","","","","csr00948/0.34;csr01815/0.34"
"COMM 414","Communication and Social Change in China","Examines social , political , and cultural implications of media and communication on Chinese society ; regulations relevant to Chinese communication ; market reforms , telecommunication , Internet and creative industries .","","","","","",""
"MDA 110","MDA 110 Contemporary Issues and Cases in Health Care","An introduction to the major areas of health care ; the provider’s relationship to choices in professional practice ; ethics and historical context .","","","","","MDA 100;MDA 100;MDA 100;MDA 100",""
"MEDS 220","Preparation for the Clinical Experience","Discussion and exercises in clinically relevant topics (professional behavior , patient privacy , medical ethics , cultural competency , teamwork , etc .) in preparation for experience in the clinical setting .","","","","","",""
"MEDS 260","Challenges in the Forefront of Biomedical Ethics","Examination of fundamental ethical concepts and principles in clinical health care and biomedical research . Use of film , case studies and discussion .","","MDA 110;MEDS 220","","","",""
"MEDS 280","The History of Medicine : a Doctor's Perspective","Explores the role of medicine/surgery in society , whose ideas about health and disease have undergone enormous changes from antiquity to the present day .","","","","","",""
"MEDS 300","MEDS 300g Statistical Methods for Biomedical Research","Fundamental basis for various statistical tests , underlying assumptions , and statistical analyses used in biomedical and clinical research .","","","","","",""
"MEDS 320","Human Cadaveric Anatomy","Anatomical structure and function of the major regions of the human body as related to health and disease , using clinical cases , lectures and cadaveric demonstrations . ","BISC 220;BISC 221","","","","",""
"MEDS 330","MEDS 330 Bionics : Solutions to Enable the Disabled","Focused examination of medical bionics with emphasis on solutions that enable the disabled and detailed discussions and evaluations of the social and technological aspects of bionic medical devices .","","","","","",""
